"t","R","S","I","sample","Gamma","Beta","Rt"
0,0,9999,1,0,0.143,4.5e-05,3.14653846153846
1.66847795827226,0,9998,2,0,0.143,4.5e-05,3.14622377622378
2.55639715427966,0,9997,3,0,0.143,4.5e-05,3.14590909090909
2.56892029862625,0,9996,4,0,0.143,4.5e-05,3.14559440559441
3.20339664463299,1,9996,3,0,0.143,4.5e-05,3.14559440559441
3.41068187067949,1,9995,4,0,0.143,4.5e-05,3.14527972027972
3.63068381149152,1,9994,5,0,0.143,4.5e-05,3.14496503496504
4.07381776869554,1,9993,6,0,0.143,4.5e-05,3.14465034965035
4.14823099105802,1,9992,7,0,0.143,4.5e-05,3.14433566433567
4.3159173662139,1,9991,8,0,0.143,4.5e-05,3.14402097902098
4.4092106623919,2,9991,7,0,0.143,4.5e-05,3.14402097902098
4.77210446877085,2,9990,8,0,0.143,4.5e-05,3.14370629370629
4.94826791298268,3,9990,7,0,0.143,4.5e-05,3.14370629370629
5.69754512544803,3,9989,8,0,0.143,4.5e-05,3.14339160839161
5.81672569154943,4,9989,7,0,0.143,4.5e-05,3.14339160839161
5.81926133532184,4,9988,8,0,0.143,4.5e-05,3.14307692307692
5.92609761194334,4,9987,9,0,0.143,4.5e-05,3.14276223776224
6.16407376421705,4,9986,10,0,0.143,4.5e-05,3.14244755244755
6.21728904608855,4,9985,11,0,0.143,4.5e-05,3.14213286713287
6.38485202585445,4,9984,12,0,0.143,4.5e-05,3.14181818181818
6.50906929260716,4,9983,13,0,0.143,4.5e-05,3.1415034965035
6.68021281340812,4,9982,14,0,0.143,4.5e-05,3.14118881118881
6.77504591521675,4,9981,15,0,0.143,4.5e-05,3.14087412587413
7.06551795923221,4,9980,16,0,0.143,4.5e-05,3.14055944055944
7.08457776712515,4,9979,17,0,0.143,4.5e-05,3.14024475524476
7.13787277590532,4,9978,18,0,0.143,4.5e-05,3.13993006993007
7.22693684682681,4,9977,19,0,0.143,4.5e-05,3.13961538461539
7.25510446634473,4,9976,20,0,0.143,4.5e-05,3.1393006993007
7.29685321208892,4,9975,21,0,0.143,4.5e-05,3.13898601398601
7.31796836455696,4,9974,22,0,0.143,4.5e-05,3.13867132867133
7.3955752343369,4,9973,23,0,0.143,4.5e-05,3.13835664335664
7.56042801759938,4,9972,24,0,0.143,4.5e-05,3.13804195804196
7.67460145374143,4,9971,25,0,0.143,4.5e-05,3.13772727272727
7.85976791753197,4,9970,26,0,0.143,4.5e-05,3.13741258741259
7.92421344708675,5,9970,25,0,0.143,4.5e-05,3.13741258741259
8.05372135402776,5,9969,26,0,0.143,4.5e-05,3.1370979020979
8.11936395031806,5,9968,27,0,0.143,4.5e-05,3.13678321678322
8.24932299874482,5,9967,28,0,0.143,4.5e-05,3.13646853146853
8.26022741496447,6,9967,27,0,0.143,4.5e-05,3.13646853146853
8.33136358207338,6,9966,28,0,0.143,4.5e-05,3.13615384615385
8.3362759485531,7,9966,27,0,0.143,4.5e-05,3.13615384615385
8.36725375781711,7,9965,28,0,0.143,4.5e-05,3.13583916083916
8.37697168174301,7,9964,29,0,0.143,4.5e-05,3.13552447552448
8.44937103467299,8,9964,28,0,0.143,4.5e-05,3.13552447552448
8.47355341322735,8,9963,29,0,0.143,4.5e-05,3.13520979020979
8.48136119505847,8,9962,30,0,0.143,4.5e-05,3.1348951048951
8.53350027587169,8,9961,31,0,0.143,4.5e-05,3.13458041958042
8.55176027012551,8,9960,32,0,0.143,4.5e-05,3.13426573426573
8.636425013445,8,9959,33,0,0.143,4.5e-05,3.13395104895105
8.6575681685437,8,9958,34,0,0.143,4.5e-05,3.13363636363636
8.75909119689216,8,9957,35,0,0.143,4.5e-05,3.13332167832168
8.88633792949866,8,9956,36,0,0.143,4.5e-05,3.13300699300699
9.00215611258855,9,9956,35,0,0.143,4.5e-05,3.13300699300699
9.00804409378658,9,9955,36,0,0.143,4.5e-05,3.13269230769231
9.04544016539067,9,9954,37,0,0.143,4.5e-05,3.13237762237762
9.07075274698354,9,9953,38,0,0.143,4.5e-05,3.13206293706294
9.2376031500615,9,9952,39,0,0.143,4.5e-05,3.13174825174825
9.39694932357206,9,9951,40,0,0.143,4.5e-05,3.13143356643357
9.52582983714606,10,9951,39,1,0.143,4.5e-05,3.13143356643357
9.5356334817814,10,9950,40,1,0.143,4.5e-05,3.13111888111888
9.53933794718376,10,9949,41,1,0.143,4.5e-05,3.1308041958042
9.55054991207293,10,9948,42,1,0.143,4.5e-05,3.13048951048951
9.60002993830415,10,9947,43,1,0.143,4.5e-05,3.13017482517483
9.60366122346546,10,9946,44,1,0.143,4.5e-05,3.12986013986014
9.66420413230478,10,9945,45,1,0.143,4.5e-05,3.12954545454545
9.68936666193404,10,9944,46,1,0.143,4.5e-05,3.12923076923077
9.73797914712366,10,9943,47,1,0.143,4.5e-05,3.12891608391608
9.82248480479912,10,9942,48,1,0.143,4.5e-05,3.1286013986014
9.84830108452845,11,9942,47,1,0.143,4.5e-05,3.1286013986014
9.98416750401769,11,9941,48,1,0.143,4.5e-05,3.12828671328671
10.0480724175558,11,9940,49,1,0.143,4.5e-05,3.12797202797203
