T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,5,48,175,153,119,61,40,21,13,7,5,3,0,0,
0,5,44,213,224,120,80,51,28,16,8,3,0,1,0,
0,5,48,212,236,140,88,56,32,15,7,3,0,7,1,
0,5,57,142,139,89,64,37,20,14,7,4,0,1,8,
0,6,52,146,198,123,70,43,26,14,7,7,6,1,0,
0,6,52,146,198,123,70,43,26,14,7,7,6,1,0,
0,7,42,165,246,148,74,36,16,7,7,1,0,2,2,
0,7,37,137,225,135,80,42,18,9,7,1,0,2,0,
0,5,41,170,296,188,84,39,17,9,7,4,0,0,0,
0,6,46,139,162,178,158,62,21,9,1,3,0,0,0,
0,7,66,234,377,167,78,66,25,12,7,3,0,0,0,
0,7,47,236,445,323,91,37,23,12,7,1,4,7,2,
0,6,72,304,509,308,134,60,24,8,7,2,0,0,0,
0,12,79,291,448,294,118,29,8,14,7,6,0,0,0,
0,7,48,195,372,315,136,51,21,19,12,3,0,6,7,
0,12,97,269,341,320,157,54,24,9,7,5,1,2,0,
0,9,62,262,664,396,124,55,23,8,7,3,0,0,0,
0,10,82,303,528,310,120,57,23,14,7,1,0,2,0,
0,9,61,176,282,246,161,87,33,17,9,7,7,3,0,
0,9,78,227,299,187,122,70,26,10,7,3,0,2,7,
0,5,40,215,346,203,138,56,25,14,7,7,9,3,0,
0,8,70,296,467,306,188,84,34,15,7,2,0,1,0,
0,8,70,296,467,306,188,84,34,15,7,2,0,1,0,
0,7,61,315,470,343,131,50,17,14,9,4,0,0,0,
0,7,54,311,375,211,98,46,18,8,6,1,0,0,0,
0,6,57,300,374,185,105,67,31,16,7,2,0,7,6,
0,5,55,292,435,295,114,43,18,10,4,1,0,2,0,
0,8,59,251,346,168,92,53,30,23,10,6,2,2,0,
0,7,63,241,310,250,133,46,21,21,10,7,0,0,0,
0,7,63,241,310,250,133,46,21,21,10,7,0,0,0,
0,7,43,180,269,233,126,69,39,15,7,2,2,1,0,
0,6,74,337,330,164,105,39,18,7,7,4,0,2,0,
0,5,46,161,301,184,115,59,21,7,5,5,0,7,0,
0,5,52,219,316,182,115,62,24,9,7,3,0,0,0,
0,5,52,219,316,182,115,62,24,9,7,3,0,0,0,
0,5,50,172,394,267,124,51,18,8,1,1,1,2,7,
0,5,55,231,362,199,93,50,27,10,7,7,1,0,0,
0,5,51,214,308,217,93,46,19,7,7,4,0,0,0,
0,5,48,202,378,232,107,52,21,13,7,7,7,2,0,
0,5,58,265,441,270,123,57,23,11,7,2,0,0,0,
0,6,58,208,385,249,108,56,24,10,7,7,7,3,0,
0,5,49,236,333,209,93,46,22,14,10,7,3,3,0,
0,5,30,149,335,237,115,46,24,11,7,3,7,5,0,
0,5,30,149,335,237,115,46,24,11,7,3,7,5,0,
0,5,30,149,335,237,115,46,24,11,7,3,7,5,0,
0,4,42,260,466,261,116,57,25,15,7,1,0,0,0,
0,6,57,154,192,194,90,41,26,16,8,7,7,5,0,
0,4,51,217,304,170,82,43,23,13,7,7,0,1,1,
0,7,49,186,334,187,85,47,29,12,7,2,0,0,0,
