T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,1,3,4,4,8,11,20,33,48,72,102,160,221,277,359,436,494,633,742,867,1091,1265,1653,1733,2155,2450,2865,2994,2897,2932,2683,2230,2019,1958,1872,1913,1932,1821,1603,1451,1357,1313,1257,1058,894,825,725,618,572,559,535,490,446,382,335,313,255,225,192,177,154,128,108,100,100,87,82,79,68,63,59,54,48,45,47,52,55,61,69,73,66,50,45,31,31,28,24,22,19,13,8,9,4,6,5,5,5,5,4,4,3,3,2,1,1,
1,2,3,5,5,6,9,16,32,54,93,131,162,180,230,267,298,365,483,634,863,1162,1499,1880,2169,2514,2973,3507,4204,4485,4562,4217,3550,3107,2807,2277,1957,1639,1503,1284,1128,971,921,899,802,723,629,535,451,404,375,312,266,236,202,203,176,147,143,136,121,116,116,102,89,71,67,53,46,41,37,28,23,25,25,18,16,15,16,22,24,26,32,38,43,49,53,62,63,57,48,45,35,34,30,31,32,33,30,28,25,24,21,20,19,18,
1,2,3,7,11,15,17,22,31,43,68,88,111,164,205,296,410,605,787,1072,1298,1422,1530,1739,2219,2524,3089,3450,3705,4063,4538,4831,5054,4781,4204,3942,3771,3665,3140,2774,2285,1965,1755,1582,1575,1478,1428,1218,1059,954,802,659,533,444,373,309,292,253,228,199,181,158,132,115,90,83,82,78,96,90,76,69,68,59,53,43,40,38,36,26,23,25,29,30,36,53,64,81,73,63,55,51,44,36,37,34,26,19,15,15,9,8,4,3,3,3,
1,2,3,3,6,14,15,21,23,42,60,87,116,179,265,364,483,650,882,1160,1458,1772,2285,2642,3078,3439,3865,4355,4406,4415,4480,4428,4104,4025,3950,3834,3428,3115,2793,2356,2305,2153,1990,1855,1611,1430,1230,1110,917,808,737,611,510,528,509,492,510,536,586,521,492,427,399,325,266,236,214,196,190,168,153,144,148,118,112,91,90,86,94,99,100,97,103,110,110,114,126,118,108,104,105,83,81,73,55,54,42,36,36,35,26,22,19,13,15,14,
1,2,4,6,9,20,27,23,33,40,56,75,122,170,214,262,332,437,604,774,999,1244,1614,2112,2539,2995,3360,3447,3729,3999,3854,3361,2857,2429,2077,1790,1538,1543,1591,1768,2013,2127,2091,2143,2159,2267,2228,2130,1909,1797,1586,1290,1075,896,803,724,640,559,527,451,385,339,288,251,223,184,159,129,120,105,90,78,71,69,60,51,47,44,39,33,25,16,16,16,14,12,12,13,13,15,19,23,22,22,32,36,48,48,48,44,45,47,53,58,62,66,
1,1,3,5,10,18,26,39,45,59,93,136,188,271,361,485,650,840,1197,1599,2058,2446,2759,3471,4244,4724,4925,4806,4731,4713,4694,4254,4205,4305,4207,3845,3485,3507,3619,3421,2965,2661,2531,2146,1845,1566,1341,1158,984,828,741,674,566,490,464,441,397,357,318,291,285,307,254,221,191,164,150,125,116,103,97,85,74,66,56,55,58,58,54,51,48,47,56,49,42,39,42,41,34,34,27,27,27,28,35,46,41,38,40,40,39,34,26,23,21,19,
1,1,4,6,9,8,9,17,31,51,72,88,128,162,249,358,478,623,731,974,1230,1421,1723,2186,2595,3007,3090,3207,3626,3780,4238,4450,4331,4250,3680,3283,3097,2808,2763,2493,2239,2129,1876,1741,1714,1639,1534,1434,1278,1085,945,798,697,628,540,472,393,390,435,477,494,512,524,517,453,400,363,330,275,249,202,191,189,166,147,122,108,95,93,79,66,56,44,41,38,34,27,25,29,31,40,40,35,40,45,43,35,35,38,38,39,42,41,45,44,46,
1,1,4,6,9,8,9,17,31,51,72,88,128,162,249,358,478,623,731,974,1230,1421,1723,2186,2595,3007,3090,3207,3626,3780,4238,4450,4331,4250,3680,3283,3097,2808,2763,2493,2239,2129,1876,1741,1714,1639,1534,1434,1278,1085,945,798,697,628,540,472,393,390,435,477,494,512,524,517,453,400,363,330,275,249,202,191,189,166,147,122,108,95,93,79,66,56,44,41,38,34,27,25,29,31,40,40,35,40,45,43,35,35,38,38,39,42,41,45,44,46,
1,1,4,6,9,8,9,17,31,51,72,88,128,162,249,358,478,623,731,974,1230,1421,1723,2186,2595,3007,3090,3207,3626,3780,4238,4450,4331,4250,3680,3283,3097,2808,2763,2493,2239,2129,1876,1741,1714,1639,1534,1434,1278,1085,945,798,697,628,540,472,393,390,435,477,494,512,524,517,453,400,363,330,275,249,202,191,189,166,147,122,108,95,93,79,66,56,44,41,38,34,27,25,29,31,40,40,35,40,45,43,35,35,38,38,39,42,41,45,44,46,
1,3,3,4,6,7,13,22,33,43,64,70,86,127,169,220,316,464,659,940,1337,1719,2396,3166,3765,4073,4343,4900,5383,5799,6331,6417,5849,5316,4943,4651,4092,3557,3131,2689,2320,2135,2051,1903,1628,1442,1221,1090,981,975,914,802,729,669,561,485,413,372,324,294,264,220,208,180,163,133,119,103,89,84,89,81,72,75,69,74,65,58,49,43,49,52,41,40,40,43,43,41,37,36,41,40,39,40,40,43,40,40,29,29,26,27,27,25,28,32,
