T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,
0,2,18,75,154,360,500,323,176,99,54,28,16,9,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,20,68,148,341,309,172,91,47,24,13,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,15,60,139,326,323,173,87,43,21,11,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,54,149,343,273,163,94,46,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,18,67,140,408,295,164,91,48,25,14,7,7,
0,1,13,50,149,373,333,166,88,46,26,13,7,7,
0,1,13,50,149,373,333,166,88,46,26,13,7,7,
0,1,13,50,149,373,333,166,88,46,26,13,7,7,
0,1,19,66,143,430,342,180,98,54,30,16,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,15,61,146,395,319,166,86,43,21,11,7,6,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,16,50,136,450,311,144,67,32,18,8,5,0,
0,1,15,46,168,402,290,147,75,37,20,11,6,0,
0,1,15,46,168,402,290,147,75,37,20,11,6,0,
0,1,18,74,178,416,257,129,64,31,19,10,7,9,
0,1,18,74,178,416,257,129,64,31,19,10,7,9,
0,1,14,59,162,438,300,136,58,28,13,7,1,0,
0,1,18,67,136,420,279,152,73,32,18,9,7,0,
0,1,18,67,136,420,279,152,73,32,18,9,7,0,
0,1,18,67,136,420,279,152,73,32,18,9,7,0,
0,1,12,39,127,466,295,135,60,28,13,7,2,0,
0,1,15,58,170,485,296,132,58,24,10,7,1,0,
0,1,16,57,139,498,281,127,57,27,13,7,2,0,
0,1,16,57,139,498,281,127,57,27,13,7,2,0,
0,1,14,37,108,518,291,119,45,18,12,7,1,0,
0,1,14,37,108,518,291,119,45,18,12,7,1,0,
0,1,14,37,108,518,291,119,45,18,12,7,1,0,
0,1,14,37,108,518,291,119,45,18,12,7,1,0,
0,1,14,64,180,510,267,123,56,27,14,7,7,0,
0,1,14,64,180,510,267,123,56,27,14,7,7,0,
0,1,16,66,139,583,317,145,71,34,15,7,3,0,
0,1,16,66,139,583,317,145,71,34,15,7,3,0,
0,1,16,66,139,583,317,145,71,34,15,7,3,0,
0,1,17,66,124,571,300,136,63,27,14,7,3,0,
0,1,16,69,149,628,334,144,58,25,13,7,1,0,
0,1,18,68,114,631,311,153,64,27,14,7,3,0,
0,1,13,55,118,655,346,164,67,27,14,7,2,0,
0,2,18,70,120,613,284,133,49,18,13,7,2,1,
0,1,14,56,101,622,284,167,68,33,14,7,3,0,
0,1,18,51,99,656,304,142,58,26,14,7,5,2,
0,1,14,57,144,666,314,139,58,23,11,7,7,1,
0,1,18,65,119,757,337,134,58,30,16,4,0,0,
0,1,17,65,123,775,315,164,67,29,12,7,1,0,
0,1,14,69,122,734,362,170,61,24,14,8,1,0,
0,1,16,61,130,731,302,136,58,18,7,2,
0,1,19,75,132,650,304,144,77,24,13,7,4,0,
0,1,19,75,132,650,304,144,77,24,13,7,4,0,
0,1,16,56,96,661,316,142,52,25,12,7,1,0,
0,1,17,75,139,698,348,123,53,31,12,4,
0,1,24,73,121,696,305,178,83,29,8,7,7,1,
0,1,14,56,90,745,356,144,56,28,16,7,4,0,
0,1,14,63,118,679,322,150,67,22,13,6,1,0,
0,1,15,73,111,749,371,192,55,25,11,3,
0,1,18,66,108,697,303,160,72,24,9,4,0,0,
0,1,17,66,135,710,350,160,73,35,18,9,4,0,
0,1,18,85,153,628,320,165,53,23,16,7,1,0,
0,2,21,66,113,671,340,136,62,22,7,6,1,0,
0,2,20,69,120,679,332,170,60,23,12,6,1,0,
0,1,17,64,123,693,347,169,57,21,9,7,1,0,
0,1,16,57,150,685,299,137,65,24,14,7,1,0,
0,1,14,61,112,623,329,153,67,27,13,7,3,0,
0,1,15,52,116,749,331,140,60,30,12,7,1,0,
0,1,16,67,129,693,277,134,59,28,16,8,3,0,
0,1,18,71,108,704,334,160,66,26,14,5,2,0,
0,1,14,57,104,682,313,152,66,24,12,5,0,0,
0,1,14,60,119,700,358,166,61,24,15,3,0,0,
0,2,18,70,120,726,328,159,61,29,12,7,6,1,
0,1,19,72,109,659,333,175,65,27,9,7,4,0,
0,1,22,74,105,753,349,159,62,30,11,7,1,0,
0,1,17,79,123,627,297,137,72,25,10,4,
0,1,18,73,127,750,315,139,61,22,9,3,0,0,
0,1,18,73,139,683,341,159,70,24,10,7,2,0,
0,1,12,64,112,665,347,156,46,21,12,2,
0,1,14,60,126,687,345,170,64,23,18,6,0,0,
0,1,16,68,115,650,302,170,61,28,19,8,2,0,
0,1,22,84,109,716,346,202,73,22,8,
0,1,14,65,131,724,290,141,55,19,8,2,2,7,
0,1,19,80,98,727,308,145,38,21,12,5,
0,1,19,80,98,727,308,145,38,21,12,5,
0,2,23,68,111,721,329,151,45,23,11,7,
0,2,23,53,88,642,284,140,64,20,8,3,
0,1,17,78,106,681,296,173,79,23,11,
0,2,18,60,124,710,279,157,76,23,9,1,
0,2,20,66,115,726,345,164,66,22,9,4,
0,2,18,73,120,748,333,120,53,16,10,2,
0,1,19,82,135,675,318,154,51,21,12,7,0,
0,2,18,64,128,750,323,201,78,25,9,7,1,0,
0,2,18,58,113,671,327,153,49,17,14,8,1,0,
0,3,21,73,124,756,334,173,74,22,10,4,1,0,
0,1,16,78,128,720,324,152,57,23,13,7,1,0,
0,1,18,72,117,742,350,133,59,23,9,7,4,0,
0,2,16,53,103,723,320,149,55,20,9,3,3,0,
0,2,22,91,123,672,295,148,65,23,17,11,1,0,
0,2,19,63,109,757,348,161,51,17,7,7,4,0,
0,2,18,57,124,650,311,156,52,18,14,8,3,0,
0,2,25,91,106,745,356,178,61,21,8,5,
0,2,22,69,135,740,329,142,71,27,8,4,
0,2,17,56,114,696,346,164,65,26,11,3,
0,3,23,66,107,660,341,145,58,26,13,7,2,0,
0,2,27,83,111,700,315,145,66,20,9,2,
0,3,20,77,119,628,275,131,59,19,8,
0,3,20,66,112,643,324,155,65,29,13,4,0,
0,2,19,87,131,713,349,152,61,24,10,7,1,0,
0,1,19,83,126,683,361,155,69,28,12,7,1,0,
0,2,18,69,111,671,314,142,56,23,12,6,3,0,
0,3,18,64,123,680,312,137,62,26,14,7,3,1,
0,2,18,62,116,696,315,196,84,30,15,6,2,0,
0,2,14,67,129,726,304,140,55,23,13,7,1,
0,2,15,57,108,686,340,140,55,26,13,3,0,0,
0,1,16,68,118,657,309,149,54,25,12,8,3,0,
