T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,2,3,5,6,10,11,17,20,34,52,82,110,155,212,284,372,442,589,721,925,1146,1432,1755,2049,2290,2468,2554,2700,2696,2694,2677,2634,2499,2425,2353,2332,2237,2108,1976,1820,1727,1676,1637,1483,1312,1222,1186,1087,1034,1004,969,849,794,735,661,589,535,484,450,367,341,368,337,294,266,272,261,256,218,203,207,176,139,126,109,94,87,69,60,46,34,34,26,22,19,10,9,9,10,7,7,6,5,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1,2,3,5,6,10,11,17,20,34,52,82,110,155,212,284,372,442,589,721,925,1146,1432,1755,2049,2290,2468,2554,2700,2696,2694,2677,2634,2499,2425,2353,2332,2237,2108,1976,1820,1727,1676,1637,1483,1312,1222,1186,1087,1034,1004,969,849,794,735,661,589,535,484,450,367,341,368,337,294,266,272,261,256,218,203,207,176,139,126,109,94,87,69,60,46,34,34,26,22,19,10,9,9,10,7,7,6,5,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1,2,4,3,5,8,11,22,32,47,63,87,131,191,269,365,468,571,732,877,1056,1195,1477,1588,1804,2092,2254,2419,2719,2945,3135,3144,3052,2876,2795,2654,2526,2269,1983,1829,1694,1443,1211,1088,993,1025,1073,1087,1035,955,938,931,888,772,741,639,555,475,393,333,282,249,210,174,150,133,129,119,108,106,104,105,98,94,100,95,85,84,77,64,44,35,27,22,22,21,18,11,10,9,9,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,
1,1,4,5,5,9,14,20,29,40,60,87,117,160,213,298,434,587,815,1096,1471,1793,1983,2235,2398,2423,2479,2584,2771,2685,2715,2698,2657,2581,2523,2527,2415,2255,2100,1901,1579,1381,1232,1042,911,842,817,756,706,620,550,467,402,354,303,269,233,229,206,195,203,208,235,238,234,242,235,235,224,206,197,180,159,141,100,95,93,90,91,78,75,72,64,57,51,42,36,25,21,20,10,9,8,6,5,3,1,0,0,0,0,0,0,0,0,0,
1,2,4,3,5,12,16,21,35,53,73,101,133,184,249,315,425,606,762,923,1083,1294,1449,1628,1833,1992,2131,2338,2497,2584,2677,2686,2628,2579,2481,2245,2150,2280,2330,2349,2314,2383,2357,2345,2236,2211,2210,2197,1979,1751,1611,1451,1295,1223,1089,963,840,701,620,613,573,512,465,434,367,310,269,215,185,156,134,123,119,105,92,82,70,71,61,59,52,44,37,27,22,24,18,12,13,11,9,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,
1,2,4,3,5,12,16,21,35,53,73,101,133,184,249,315,425,606,762,923,1083,1294,1449,1628,1833,1992,2131,2338,2497,2584,2677,2686,2628,2579,2481,2245,2150,2280,2330,2349,2314,2383,2357,2345,2236,2211,2210,2197,1979,1751,1611,1451,1295,1223,1089,963,840,701,620,613,573,512,465,434,367,310,269,215,185,156,134,123,119,105,92,82,70,71,61,59,52,44,37,27,22,24,18,12,13,11,9,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,
1,1,3,3,5,9,9,13,22,28,41,60,83,132,168,242,325,436,536,700,929,1122,1421,1607,1863,2125,2184,2172,2179,2306,2389,2586,2845,3030,3108,2953,2740,2480,2270,2020,1773,1556,1392,1255,1202,1087,997,865,727,608,497,404,353,326,310,305,305,321,356,379,386,341,307,246,208,170,167,171,178,175,175,159,157,152,141,142,115,103,95,82,73,63,49,44,38,21,16,17,15,14,12,11,8,7,5,4,4,0,0,0,0,0,0,0,0,0,
1,1,3,5,6,9,11,16,23,28,42,62,86,120,173,234,362,504,683,943,1296,1657,2110,2658,3095,3529,3955,4239,4371,4381,4193,3960,3645,3188,2817,2625,2566,2378,2177,2105,2097,1997,1835,1582,1345,1121,948,864,766,715,658,636,592,591,570,500,425,386,368,314,282,255,204,174,160,148,128,112,95,88,75,61,50,49,46,37,31,25,13,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,3,5,6,9,11,16,23,28,42,62,86,120,173,234,362,504,683,943,1296,1657,2110,2658,3095,3529,3955,4239,4371,4381,4193,3960,3645,3188,2817,2625,2566,2378,2177,2105,2097,1997,1835,1582,1345,1121,948,864,766,715,658,636,592,591,570,500,425,386,368,314,282,255,204,174,160,148,128,112,95,88,75,61,50,49,46,37,31,25,13,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,3,5,6,9,11,16,23,28,42,62,86,120,173,234,362,504,683,943,1296,1657,2110,2658,3095,3529,3955,4239,4371,4381,4193,3960,3645,3188,2817,2625,2566,2378,2177,2105,2097,1997,1835,1582,1345,1121,948,864,766,715,658,636,592,591,570,500,425,386,368,314,282,255,204,174,160,148,128,112,95,88,75,61,50,49,46,37,31,25,13,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
