T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,1,3,4,5,5,6,13,25,31,40,48,57,60,60,67,73,90,108,111,129,148,188,209,250,282,310,332,387,429,457,502,549,596,684,791,894,1063,1193,1310,1441,1507,1598,1736,1890,2066,2251,2442,2614,2810,2937,3037,3206,3472,3644,3767,3895,3932,3917,3860,3728,3503,3418,3386,3337,3126,2890,2710,2607,2418,2314,2201,2096,1980,1834,1683,1564,1425,1272,1124,983,842,752,668,618,572,517,477,438,423,358,321,290,277,242,207,191,188,179,178,153,136,118,116,107,102,86,88,75,70,61,50,47,40,32,28,25,25,23,23,23,22,19,22,23,24,26,24,26,24,17,20,21,21,25,23,22,18,19,20,
1,1,1,3,4,5,5,6,13,25,31,40,48,57,60,60,67,73,90,108,111,129,148,188,209,250,282,310,332,387,429,457,502,549,596,684,791,894,1063,1193,1310,1441,1507,1598,1736,1890,2066,2251,2442,2614,2810,2937,3037,3206,3472,3644,3767,3895,3932,3917,3860,3728,3503,3418,3386,3337,3126,2890,2710,2607,2418,2314,2201,2096,1980,1834,1683,1564,1425,1272,1124,983,842,752,668,618,572,517,477,438,423,358,321,290,277,242,207,191,188,179,178,153,136,118,116,107,102,86,88,75,70,61,50,47,40,32,28,25,25,23,23,23,22,19,22,23,24,26,24,26,24,17,20,21,21,25,23,22,18,19,20,
1,1,3,4,3,7,10,13,21,20,22,24,36,43,51,64,73,82,103,124,138,144,153,162,176,196,222,259,288,321,351,385,451,510,582,642,713,813,899,1001,1097,1231,1381,1567,1775,2031,2338,2635,2949,3202,3440,3723,3927,4129,4242,4248,4230,4232,4247,4200,4245,4137,4000,3868,3728,3580,3404,3161,3002,2864,2742,2714,2598,2426,2258,2111,1930,1760,1569,1412,1262,1079,938,801,705,606,542,480,453,402,366,328,295,260,225,206,184,169,161,145,136,120,117,109,101,96,90,82,80,74,70,72,67,64,53,45,38,37,35,33,32,32,30,30,28,29,29,26,24,25,26,31,26,23,26,27,25,21,22,23,25,
1,1,1,5,8,12,12,13,18,23,29,37,49,58,69,79,90,105,119,134,149,182,197,228,230,260,286,325,355,393,409,436,505,582,640,741,865,969,1014,1074,1227,1360,1511,1706,1942,2156,2262,2537,2849,3113,3381,3687,3976,4177,4318,4387,4536,4518,4480,4382,4261,4009,3885,3787,3628,3598,3518,3474,3361,3178,3054,2797,2627,2398,2189,2016,1871,1664,1513,1380,1264,1152,1001,913,819,761,706,640,570,505,433,400,341,311,275,250,230,196,179,158,142,141,142,141,136,134,133,132,130,107,103,92,82,79,75,69,63,63,62,58,51,48,43,42,35,31,29,27,23,22,18,14,14,9,8,7,7,7,8,8,9,
1,1,1,5,8,12,12,13,18,23,29,37,49,58,69,79,90,105,119,134,149,182,197,228,230,260,286,325,355,393,409,436,505,582,640,741,865,969,1014,1074,1227,1360,1511,1706,1942,2156,2262,2537,2849,3113,3381,3687,3976,4177,4318,4387,4536,4518,4480,4382,4261,4009,3885,3787,3628,3598,3518,3474,3361,3178,3054,2797,2627,2398,2189,2016,1871,1664,1513,1380,1264,1152,1001,913,819,761,706,640,570,505,433,400,341,311,275,250,230,196,179,158,142,141,142,141,136,134,133,132,130,107,103,92,82,79,75,69,63,63,62,58,51,48,43,42,35,31,29,27,23,22,18,14,14,9,8,7,7,7,8,8,9,
1,1,2,3,5,8,10,11,16,21,29,36,44,42,48,57,65,76,97,109,116,130,154,170,196,225,255,310,336,377,415,451,497,553,591,671,755,853,941,1043,1122,1190,1290,1369,1458,1676,1879,2036,2259,2492,2702,2890,3105,3339,3475,3658,3752,3823,3838,3841,3867,3759,3786,3791,3882,3821,3549,3341,3137,2948,2752,2611,2496,2347,2116,1918,1713,1569,1416,1272,1132,1033,955,867,790,709,630,554,488,442,390,330,290,254,213,192,176,162,140,118,101,91,82,72,63,54,50,45,44,43,40,34,31,31,26,29,27,24,22,22,18,18,19,21,21,22,26,28,26,22,16,16,17,17,20,20,19,17,14,15,17,
1,1,2,3,4,6,6,7,15,22,26,32,42,46,48,48,63,77,87,105,108,112,134,142,168,191,230,267,292,335,391,419,468,558,638,713,847,944,1051,1151,1301,1430,1543,1708,1846,1999,2145,2307,2455,2709,2903,3164,3429,3636,3780,3892,3893,3921,3958,3994,3869,3754,3617,3474,3270,3097,2950,2813,2704,2603,2512,2398,2344,2240,2116,1949,1804,1678,1519,1373,1266,1129,1002,886,772,688,610,523,471,419,413,399,375,347,324,281,264,235,215,194,173,160,153,152,145,125,121,114,96,91,90,85,80,76,68,67,62,60,56,51,52,50,46,44,44,40,36,32,26,22,19,18,16,16,15,13,13,11,11,12,11,
1,1,2,4,4,7,9,12,23,26,29,35,50,46,55,59,72,90,87,99,105,119,128,155,172,190,217,238,263,309,371,406,453,503,573,647,747,842,952,1133,1296,1456,1651,1822,1972,2099,2327,2523,2760,3076,3304,3533,3786,3916,4059,4237,4293,4322,4303,4284,4315,4165,4123,4021,3741,3574,3463,3299,3064,2858,2733,2610,2422,2224,2061,1897,1744,1618,1481,1380,1326,1230,1112,1017,915,777,694,604,513,451,391,359,326,307,266,249,236,217,196,173,167,153,147,139,127,108,99,89,87,82,78,74,70,69,58,52,46,42,35,35,27,31,28,25,25,25,24,21,23,30,30,27,24,20,22,19,18,16,21,21,22,
1,2,2,3,4,7,9,10,15,19,35,36,39,43,52,58,66,65,82,102,98,114,143,165,187,206,225,245,268,308,337,392,428,493,544,598,659,723,808,906,1035,1155,1230,1367,1537,1687,1887,2090,2243,2445,2613,2732,2944,3118,3316,3404,3528,3608,3665,3592,3514,3338,3282,3199,3088,2984,2900,2782,2689,2532,2403,2334,2256,2147,2058,1907,1789,1668,1539,1386,1255,1143,1051,985,905,818,744,661,602,539,496,464,431,397,365,330,309,286,265,240,215,200,190,187,172,163,147,139,128,113,107,97,90,86,79,72,63,56,50,44,44,41,38,37,33,28,26,22,18,18,17,15,14,11,11,11,8,8,8,6,6,
1,1,2,4,6,9,11,12,14,20,28,29,32,37,42,46,51,55,61,73,85,105,119,136,152,177,208,254,283,306,371,420,475,512,567,651,716,809,936,1066,1233,1354,1520,1664,1888,2083,2346,2596,2782,3104,3307,3467,3603,3657,3705,3786,3819,3960,4071,4078,4081,4035,3896,3791,3695,3494,3370,3146,3053,2884,2728,2523,2311,2119,1966,1811,1700,1623,1489,1352,1213,1134,1032,947,881,818,741,679,610,580,526,478,436,397,350,306,282,249,235,213,186,177,156,146,138,127,120,117,108,99,86,75,67,52,48,45,42,38,40,40,42,44,42,40,43,43,40,40,36,31,27,24,25,23,26,25,23,23,23,25,26,
