Summary Statistic	reproductiveNumber_BDSKY_Serial.1	reproductiveNumber_BDSKY_Serial.2	reproductiveNumber_BDSKY_Serial.3	reproductiveNumber_BDSKY_Serial.4	reproductiveNumber_BDSKY_Serial.5	reproductiveNumber_BDSKY_Serial.6	reproductiveNumber_BDSKY_Serial.7	reproductiveNumber_BDSKY_Serial.8	reproductiveNumber_BDSKY_Serial.9	reproductiveNumber_BDSKY_Serial.10
mean	2.0386	3.8576	2.3141	2.3383	2.75	2.0108	1.45	0.8887	0.2881	0.9377
stderr of mean	0.024	5.9257E-3	3.5265E-3	3.2153E-3	8.1121E-3	6.7329E-3	4.2719E-3	2.7637E-3	1.0927E-3	1.6535E-3
stdev	2.409	0.9302	0.3653	0.3147	0.5361	0.476	0.3693	0.3412	0.1695	0.3406
variance	5.8035	0.8653	0.1335	0.099	0.2874	0.2266	0.1364	0.1164	0.0287	0.116
median	0.9262	3.7725	2.289	2.3167	2.7186	1.9888	1.4404	0.8907	0.2745	0.9504
value range	[5.9859E-5, 9.9997]	[0.4699, 9.8222]	[1.1136, 4.5124]	[1.0954, 4.2772]	[0.8598, 5.8829]	[0.2223, 4.4318]	[0.0244, 3.4251]	[7.9294E-4, 2.4464]	[3.6322E-5, 1.0251]	[9.4778E-4, 2.3428]
geometric mean	0.9846	3.7467	2.2857	2.3174	2.6977	1.9526	1.3995	0.8019	0.2197	0.8528
95% HPD interval	[5.9859E-5, 7.83]	[2.1275, 5.7277]	[1.6217, 3.0405]	[1.7394, 2.9639]	[1.7275, 3.821]	[1.0989, 2.9609]	[0.7149, 2.1632]	[0.1957, 1.534]	[3.6322E-5, 0.588]	[0.2579, 1.5865]
auto-correlation time (ACT)	8952.2038	3652.2811	8386.1367	9393.8792	20610.3498	18006.4688	12040.7572	5904.4033	3742.134	2120.7676
effective sample size (ESS)	10053.5	24642.4	10732.1	9580.8	4366.8	4998.3	7474.7	15243	24050.7	42437.9
number of samples	90001	90001	90001	90001	90001	90001	90001	90001	90001	90001
