Summary Statistic	TTR0.1	TTR0.2	TTR0.3	TTR0.4	TTR0.5	TTR0.6	TTR0.7	TTR0.8	TTR0.9	TTR0.10
mean	2.2884	2.2252	2.2688	2.7721	2.7705	2.1671	1.5188	0.8519	0.5623	0.3718
stderr of mean	0.0529	0.0254	0.0219	0.0153	0.0122	7.356E-3	3.7099E-3	2.5261E-3	2.0832E-3	2.1913E-3
stdev	1.4969	1.0322	0.9206	0.6823	0.475	0.2235	0.1223	0.0955	0.0717	0.1054
variance	2.2407	1.0655	0.8476	0.4656	0.2256	0.05	0.015	9.1127E-3	5.1425E-3	0.0111
median	2.0936	2.1274	2.2062	2.7166	2.7687	2.1654	1.5161	0.8485	0.5591	0.3642
value range	[1.6686E-4, 8.6844]	[0.0196, 6.556]	[0.0289, 6.5883]	[0.9677, 5.8277]	[1.0336, 4.6048]	[1.1767, 2.9752]	[1.0965, 2.0581]	[0.5091, 1.1844]	[0.3271, 0.8512]	[0.1104, 0.8415]
geometric mean	1.6605	1.9602	2.0545	2.6885	2.7285	2.1555	1.5139	0.8465	0.5577	0.3566
95% HPD interval	[2.5508E-4, 5.025]	[0.3379, 4.2006]	[0.5041, 4.0851]	[1.5611, 4.1465]	[1.8646, 3.7415]	[1.7214, 2.5793]	[1.282, 1.7489]	[0.668, 1.0359]	[0.4198, 0.6974]	[0.1831, 0.5882]
auto-correlation time (ACT)	11227.1474	5441.3401	5094.2392	4521.8768	5940.0674	9748.7177	8285.6963	6303.8268	7596.8182	3890.3453
effective sample size (ESS)	801.7	1654.2	1766.9	1990.5	1515.3	923.3	1086.3	1427.9	1184.8	2313.7
number of samples	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001
