Summary Statistic	TTR0.1	TTR0.2	TTR0.3	TTR0.4	TTR0.5	TTR0.6	TTR0.7	TTR0.8	TTR0.9
mean	2.8651	2.5578	3.1306	4.265	2.059	1.5029	0.2731	0.1362	0.2864
stderr of mean	0.177	0.1078	0.1506	0.1059	0.0482	0.0129	2.2307E-3	1.8184E-3	3.9907E-3
stdev	1.6158	0.99	1.1622	0.7558	0.2565	0.0823	0.0229	0.0252	0.0752
variance	2.6107	0.9801	1.3508	0.5713	0.0658	6.7659E-3	5.2558E-4	6.3365E-4	5.6529E-3
median	2.7792	2.586	3.0631	4.2286	2.0209	1.5063	0.2744	0.1343	0.2844
value range	[0.0113, 7.0965]	[0.0452, 5.7793]	[0.3425, 6.802]	[2.2267, 6.764]	[1.2086, 2.6892]	[1.2474, 1.7589]	[0.2059, 0.3353]	[0.0728, 0.2246]	[0.0718, 0.5087]
geometric mean	2.2635	2.2995	2.8979	4.1985	2.0428	1.5006	0.2722	0.1339	0.2759
95% HPD interval	[0.1099, 5.7445]	[0.4771, 4.2383]	[0.9843, 5.5551]	[2.6912, 5.6701]	[1.6352, 2.5923]	[1.3454, 1.6422]	[0.2311, 0.3191]	[0.0884, 0.1852]	[0.1451, 0.4278]
auto-correlation time (ACT)	11453.1503	11308.5588	16015.3575	18724.2801	33629.7781	23394.978	9032.109	4978.19	2687.6366
effective sample size (ESS)	83.2	84.3	59.5	50.9	28.3	40.7	105.5	191.4	354.6
number of samples	953	953	953	953	953	953	953	953	953
