Summary Statistic	reproductiveNumber_BDSKY_Serial.1	reproductiveNumber_BDSKY_Serial.2	reproductiveNumber_BDSKY_Serial.3	reproductiveNumber_BDSKY_Serial.4	reproductiveNumber_BDSKY_Serial.5	reproductiveNumber_BDSKY_Serial.6	reproductiveNumber_BDSKY_Serial.7	reproductiveNumber_BDSKY_Serial.8	reproductiveNumber_BDSKY_Serial.9	reproductiveNumber_BDSKY_Serial.10
mean	1.1132	1.1644	0.9969	0.9045	1.3255	1.3046	0.859	0.8558	1.0023	1.0045
stderr of mean	4.8075E-4	8.6876E-3	0.0114	0.0121	0.0259	0.0138	3.3026E-3	3.172E-3	3.3341E-4	2.1922E-4
stdev	0.0233	0.1247	0.138	0.1717	0.2685	0.1942	0.0887	0.093	0.0158	0.0121
variance	5.4156E-4	0.0156	0.0191	0.0295	0.0721	0.0377	7.8702E-3	8.6555E-3	2.4834E-4	1.4642E-4
median	1.1121	1.1614	0.9968	0.896	1.3143	1.3043	0.8583	0.8563	1.0024	1.0043
value range	[1.0199, 1.2152]	[0.7507, 1.6248]	[0.4746, 1.4776]	[0.2858, 1.5939]	[0.355, 2.5967]	[0.5981, 2.0909]	[0.5161, 1.1793]	[0.4787, 1.26]	[0.9354, 1.062]	[0.9526, 1.0592]
geometric mean	1.1129	1.1577	0.9871	0.8878	1.2976	1.2897	0.8543	0.8507	1.0022	1.0044
95% HPD interval	[1.0662, 1.1575]	[0.9235, 1.4144]	[0.7252, 1.266]	[0.5809, 1.2448]	[0.8335, 1.8819]	[0.9194, 1.6819]	[0.6775, 1.0266]	[0.6748, 1.0394]	[0.9696, 1.0318]	[0.9803, 1.028]
auto-correlation time (ACT)	3841.6792	43675.8056	61624.2956	44714.6842	83443.0431	45136.8478	12475.5554	10464.5971	4029.5112	2954.6678
effective sample size (ESS)	2343	206.1	146.1	201.3	107.9	199.4	721.5	860.1	2233.8	3046.4
number of samples	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001
