Summary Statistic	TTR0.1	TTR0.2	TTR0.3	TTR0.4	TTR0.5	TTR0.6	TTR0.7	TTR0.8	TTR0.9
mean	1.281	1.6725	1.2289	0.9932	1.4839	1.7532	0.74	1.0885	1.1657
stderr of mean	2.6058E-3	7.3431E-3	6.8218E-3	8.5905E-3	9.958E-3	7.3495E-3	4.1357E-3	5.4338E-3	1.8556E-3
stdev	0.0345	0.1566	0.1391	0.1639	0.1998	0.1433	0.0737	0.1154	0.0219
variance	1.1916E-3	0.0245	0.0193	0.0269	0.0399	0.0205	5.4323E-3	0.0133	4.7843E-4
median	1.279	1.6684	1.222	0.9908	1.4674	1.7367	0.7391	1.0871	1.1644
value range	[1.1658, 1.3915]	[1.2307, 2.134]	[0.8034, 1.6456]	[0.5039, 1.5088]	[0.8714, 2.2051]	[1.3146, 2.263]	[0.549, 0.9727]	[0.7504, 1.471]	[1.0975, 1.2299]
geometric mean	1.2806	1.6651	1.221	0.9793	1.4706	1.7474	0.7363	1.0823	1.1655
95% HPD interval	[1.225, 1.3512]	[1.3842, 2.0104]	[0.9494, 1.487]	[0.6496, 1.2846]	[1.157, 1.91]	[1.4645, 2.0133]	[0.5947, 0.8776]	[0.8837, 1.3056]	[1.1314, 1.2104]
auto-correlation time (ACT)	6023.2493	2324.4641	2543.9568	2904.6286	2625.9724	2778.7949	3328.0485	2343.7476	7607.0025
effective sample size (ESS)	175.3	454.3	415.1	363.6	402.1	380	317.3	450.6	138.8
number of samples	1056	1056	1056	1056	1056	1056	1056	1056	1056
