T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,3,4,3,4,6,6,8,13,17,24,28,35,41,50,57,77,86,94,106,110,121,143,162,176,212,244,293,329,372,437,492,567,670,779,846,1000,1087,1155,1299,1449,1618,1833,2113,2374,2581,2732,2890,3061,3171,3205,3196,3378,3485,3605,3840,3899,3723,3503,3334,3201,3123,3187,3223,3212,3115,2921,2625,2380,2261,2129,2017,1921,1748,1606,1463,1324,1187,1083,988,869,768,680,616,565,534,524,483,457,414,363,339,302,278,245,207,186,164,151,133,118,118,109,104,86,81,77,76,69,53,49,46,38,40,43,41,40,39,34,30,31,26,28,23,20,19,15,14,10,9,5,4,4,4,3,2,2,1,1,1,1,
1,1,2,3,4,8,11,16,17,23,32,39,54,66,71,73,82,87,96,106,128,139,153,176,207,230,265,347,380,410,465,507,536,555,605,663,744,817,961,1116,1293,1481,1693,1975,2181,2501,2707,2905,3066,3307,3546,3707,3797,3927,3903,3875,3702,3635,3595,3421,3319,3256,3191,3138,3107,3053,2938,2765,2544,2317,2115,1882,1687,1486,1371,1227,1118,983,854,733,696,664,643,603,571,524,454,389,334,299,262,231,216,196,181,150,143,127,110,95,88,77,70,63,53,46,44,38,31,31,28,27,25,23,20,19,20,18,13,10,10,11,6,6,6,6,6,7,6,7,4,5,4,6,6,4,6,6,7,9,9,
1,1,2,3,6,9,11,10,16,21,26,27,37,45,57,68,77,87,97,103,102,109,112,136,157,171,195,237,268,300,366,424,505,569,666,806,952,1053,1188,1273,1380,1585,1841,2117,2246,2398,2590,2773,2866,2975,3203,3474,3663,3669,3667,3607,3556,3435,3310,3256,3269,3308,3336,3120,2933,2867,2747,2622,2549,2322,2039,1872,1695,1583,1438,1328,1188,1042,914,810,738,664,593,546,487,415,376,339,320,286,269,235,207,201,207,192,174,169,145,132,122,111,101,93,87,73,70,68,55,52,43,37,35,36,31,31,29,26,23,19,13,14,15,13,10,13,11,11,10,10,8,8,7,6,5,5,6,6,6,6,4,
1,1,2,3,4,8,9,12,16,21,34,41,50,58,68,73,79,97,101,118,131,162,188,207,222,233,257,300,339,384,407,469,551,638,692,751,844,958,1090,1255,1412,1556,1727,1895,2007,2226,2386,2589,2666,2789,2914,3097,3344,3544,3601,3619,3562,3544,3490,3427,3406,3478,3436,3261,3132,2970,2790,2636,2521,2341,2155,2044,1849,1709,1556,1460,1305,1199,1084,991,861,738,647,599,543,495,468,420,366,322,276,240,211,181,148,134,125,116,110,94,85,82,74,74,69,60,53,48,43,37,32,30,27,23,22,19,15,15,14,13,11,12,10,12,13,11,9,9,8,7,5,4,4,4,3,3,3,2,2,2,2,
1,1,2,3,5,8,11,15,20,27,37,42,47,53,67,84,84,97,97,108,115,127,146,169,208,222,248,274,310,349,388,441,527,601,682,733,812,964,1099,1259,1393,1561,1746,2002,2193,2403,2627,2819,2954,3190,3371,3534,3747,3999,4166,4200,4045,3788,3524,3226,3128,3053,3029,2939,2847,2750,2557,2471,2333,2154,1987,1823,1665,1472,1283,1145,1065,1001,909,822,747,658,586,533,503,470,429,399,367,331,296,268,245,212,183,169,163,149,137,131,123,116,104,99,97,87,76,74,61,55,53,46,42,39,35,32,29,21,16,9,7,7,7,7,7,8,7,6,6,6,7,8,6,5,4,3,3,3,4,2,1,
1,1,2,4,6,12,8,15,17,26,36,41,49,57,71,87,93,104,115,132,138,157,172,191,220,254,274,315,338,372,434,481,541,613,671,711,756,852,972,1101,1336,1614,1895,2199,2483,2781,3002,3183,3237,3147,3141,3223,3385,3487,3560,3683,3745,3901,3921,3936,3892,3600,3374,3120,2973,2780,2595,2409,2196,2066,1942,1846,1694,1578,1509,1416,1344,1300,1208,1095,1005,875,760,673,570,508,441,383,360,333,311,315,300,295,270,234,210,200,192,183,166,146,130,114,107,95,87,76,57,52,47,41,38,38,31,29,28,24,20,19,15,10,9,7,8,10,11,12,14,12,12,7,8,9,9,10,10,9,9,8,5,
1,1,1,4,5,8,11,11,18,27,37,40,48,61,70,82,96,103,107,119,133,142,163,178,199,232,257,285,321,342,403,481,546,617,668,762,883,985,1087,1281,1487,1658,1921,2123,2243,2422,2563,2674,2868,3060,3253,3540,3551,3603,3703,3685,3642,3491,3257,3133,3021,2921,2948,3038,3031,2921,2870,2756,2564,2272,2047,1850,1592,1367,1234,1102,1010,927,837,766,713,630,564,528,472,436,386,335,290,269,248,228,219,205,197,178,167,148,135,135,114,105,98,89,81,72,67,56,53,47,42,34,32,29,23,20,19,17,16,15,12,10,7,6,6,5,4,2,2,1,1,1,1,1,1,0,0,0,0,0,0,
1,1,2,3,4,7,11,14,21,22,26,33,41,47,56,66,82,90,109,123,134,147,173,213,235,261,284,315,365,405,433,499,549,623,711,766,912,1046,1211,1393,1620,1812,1967,2149,2192,2275,2508,2776,2977,3093,3331,3314,3382,3322,3390,3407,3587,3490,3423,3359,3171,3037,2948,2806,2592,2434,2307,2230,2206,2145,2144,2126,2005,1871,1732,1601,1466,1335,1193,1105,983,902,796,710,615,536,480,440,402,361,319,294,269,248,243,222,192,174,151,127,110,101,95,84,77,72,73,67,67,59,51,44,36,35,33,34,34,29,26,20,15,15,15,13,12,12,11,12,9,9,8,9,6,6,4,4,3,3,3,2,2,
1,1,2,5,6,7,7,9,14,19,27,39,56,50,65,86,105,114,104,128,149,160,190,194,217,243,261,298,343,356,382,433,495,563,677,798,930,1097,1206,1350,1443,1528,1667,1769,1876,2011,2300,2618,2837,3164,3351,3618,3944,4086,4167,4128,4023,4057,3963,3765,3526,3477,3293,3144,2999,2862,2762,2595,2377,2145,1881,1728,1587,1429,1309,1201,1096,1019,938,867,763,672,599,553,498,457,409,358,306,288,264,236,195,184,151,131,126,119,120,106,102,93,87,76,71,63,57,50,44,39,34,29,30,28,25,21,17,14,13,11,10,9,9,8,6,9,10,8,8,8,8,7,7,7,6,4,4,2,3,3,3,
1,2,2,3,6,10,11,13,17,27,40,44,53,59,74,98,108,114,116,130,134,139,142,156,176,188,214,252,279,318,385,439,495,566,670,765,879,1008,1141,1254,1407,1541,1748,1931,2137,2365,2669,2890,3092,3376,3579,3757,3936,4081,4189,4094,4018,4013,3902,3862,3606,3334,3216,3011,2938,2803,2819,2856,2795,2633,2523,2254,1982,1776,1557,1386,1213,1044,939,850,769,678,598,539,492,448,397,371,319,301,268,235,202,181,161,142,123,110,97,88,81,74,63,59,55,44,34,29,28,23,23,22,20,19,18,17,17,16,16,16,14,14,15,17,17,16,15,8,9,7,7,6,7,6,5,5,5,5,5,3,1,
