T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,1,2,3,5,7,7,5,8,13,13,15,18,21,28,33,37,43,50,61,74,85,96,120,142,152,185,226,270,315,376,440,498,599,726,836,962,1107,1211,1358,1486,1696,2006,2315,2625,2821,3016,3222,3342,3476,3589,3841,4153,4138,4091,4033,4084,3983,3848,3625,3496,3295,2956,2901,2791,2639,2402,2196,2182,2026,1884,1790,1717,1651,1562,1403,1258,1149,1026,909,829,745,680,619,556,485,445,392,356,338,302,279,246,221,202,189,178,167,162,153,138,125,121,111,97,75,75,68,65,57,49,43,41,36,34,30,27,25,23,19,17,17,15,15,11,8,6,5,5,3,3,4,3,1,1,1,1,1,0,0,
1,1,1,1,3,3,3,7,11,13,15,22,22,24,26,37,43,47,56,61,68,84,95,112,122,139,153,164,192,227,241,279,339,390,472,589,689,824,954,1179,1465,1757,1973,2298,2586,2756,2953,3016,3185,3376,3503,3580,3618,3703,3948,4237,4388,4397,4212,3982,3644,3527,3352,3158,2907,2797,2720,2677,2537,2383,2210,1959,1781,1597,1508,1374,1249,1182,1166,1095,992,878,793,707,633,608,563,510,455,421,386,336,307,261,242,212,190,179,169,158,148,140,129,117,102,93,91,82,76,66,55,44,41,37,31,30,29,24,20,16,17,15,13,14,14,8,8,8,8,8,8,8,7,7,6,5,3,3,2,2,2,
1,1,1,1,2,2,6,8,13,15,18,23,32,37,45,57,63,75,92,106,113,115,131,145,172,185,192,227,258,284,302,347,408,461,561,677,832,1001,1160,1410,1598,1703,1859,2030,2196,2320,2451,2726,2919,3138,3397,3482,3625,3704,3682,3737,3849,4152,4183,3965,3611,3288,3054,2975,2917,2789,2699,2600,2371,2248,2132,1958,1835,1719,1614,1472,1327,1173,1027,918,818,706,645,578,519,473,430,390,349,313,301,274,254,232,203,201,185,165,159,143,128,115,97,87,78,67,57,50,46,47,37,40,39,36,30,26,24,20,18,16,15,14,12,12,13,12,9,8,8,6,5,6,6,4,2,2,3,3,3,3,3,
1,2,3,2,3,5,6,8,9,7,8,12,13,13,17,18,25,29,33,39,46,52,60,72,100,123,156,190,229,277,332,393,466,530,627,743,873,990,1133,1232,1341,1504,1751,2031,2290,2398,2611,2913,3141,3401,3719,4071,4155,4367,4431,4348,4166,4207,4116,4031,3818,3639,3407,3038,2833,2667,2489,2393,2355,2278,2177,1987,1886,1795,1656,1546,1430,1293,1190,1067,971,856,781,713,656,601,510,464,431,370,319,275,254,212,185,169,151,130,118,111,96,82,74,68,57,56,52,47,40,39,36,33,38,38,38,36,32,27,26,22,21,18,14,11,10,10,6,6,7,5,4,3,3,4,4,4,4,3,1,1,1,
1,2,2,3,4,3,3,5,6,7,9,11,16,19,25,36,43,55,63,73,89,118,133,144,170,183,200,250,286,329,350,406,471,560,642,738,860,991,1145,1339,1558,1733,1909,2179,2416,2620,2806,2905,3063,3122,3231,3380,3502,3613,3655,3719,3742,3838,3676,3565,3546,3473,3445,3316,3247,3093,2918,2859,2803,2758,2476,2248,2083,1845,1676,1487,1386,1261,1136,996,856,762,674,627,571,492,436,377,346,321,291,267,233,215,195,179,171,174,163,146,126,111,111,99,86,79,79,71,66,55,51,45,43,36,30,26,23,19,18,15,17,18,15,16,14,12,8,7,7,6,6,5,5,4,4,4,4,2,2,1,1,
1,1,2,4,4,5,6,7,7,9,13,15,19,23,30,41,47,50,63,74,79,101,110,126,133,160,175,191,204,213,262,325,386,481,563,716,827,1002,1145,1323,1422,1605,1889,2078,2228,2456,2742,2936,3092,3279,3567,3672,3919,4053,4143,4012,3921,3804,3706,3659,3630,3429,3305,3195,3128,3108,3062,2999,2773,2560,2285,2036,1882,1735,1515,1358,1247,1148,1083,1042,986,870,757,672,595,519,451,390,351,323,297,270,239,239,209,195,189,174,166,161,158,151,143,120,103,88,82,74,73,62,55,50,43,42,37,33,30,26,23,18,13,13,14,13,13,11,11,9,8,8,8,8,7,7,6,7,7,8,9,9,9,
1,2,4,7,7,7,7,10,13,15,16,21,26,32,29,37,40,41,47,42,59,65,71,77,85,101,123,147,174,205,219,263,344,451,595,756,976,1169,1342,1568,1760,1990,2168,2410,2571,2679,2880,2974,3150,3268,3403,3605,3649,3692,3733,3602,3760,3929,4137,3842,3866,3709,3438,3241,3025,2799,2648,2580,2538,2446,2305,2167,1958,1762,1603,1436,1252,1146,1078,964,871,795,706,632,558,488,439,393,374,354,320,296,264,242,204,185,155,150,138,127,116,107,95,87,78,69,66,60,55,50,45,38,28,23,21,21,21,22,18,16,14,14,13,15,12,11,10,10,11,10,8,7,5,6,4,3,3,3,3,3,4,
1,2,3,5,11,8,9,10,13,15,19,25,28,32,35,48,67,72,75,80,92,103,126,144,172,202,249,278,321,392,449,520,608,691,779,860,941,1033,1129,1329,1464,1648,1790,1976,2139,2323,2466,2638,2918,3254,3453,3567,3740,3915,4068,4179,4028,3978,3851,3782,3638,3572,3350,3261,3306,3216,3152,3008,2826,2582,2335,2093,1963,1831,1712,1519,1330,1170,1061,963,894,846,738,683,626,564,500,454,405,375,332,287,245,232,214,206,185,170,159,142,126,115,112,93,77,64,56,48,44,37,33,31,28,27,24,24,21,19,18,16,16,15,16,17,16,15,14,13,11,11,9,8,6,6,6,6,6,6,6,5,5,
1,1,2,5,4,5,7,10,12,15,15,13,15,14,17,19,27,32,40,48,59,68,78,92,107,134,164,194,230,261,333,378,439,519,626,733,831,961,1079,1213,1375,1576,1838,2091,2306,2555,2710,2863,3124,3294,3440,3615,3594,3736,3826,3943,4024,4097,4016,3894,3619,3435,3255,3169,3075,3012,2788,2697,2578,2465,2382,2215,2031,1854,1640,1466,1353,1206,1069,960,851,816,741,675,619,565,500,444,394,348,341,296,258,244,224,202,187,170,150,136,123,109,93,81,79,77,72,69,60,54,46,44,43,43,39,36,33,30,27,29,27,30,28,27,28,29,29,24,25,21,20,16,16,14,14,12,11,10,10,9,10,
1,2,4,4,7,10,8,11,14,21,26,34,40,42,45,48,57,62,71,82,94,103,113,122,132,161,186,214,250,290,319,347,405,479,584,691,804,920,1029,1175,1336,1564,1825,2000,2192,2408,2563,2810,3004,3191,3429,3677,3721,3762,3641,3693,3524,3357,3344,3386,3379,3354,3245,3032,2950,2864,2680,2566,2425,2329,2160,2044,1844,1649,1532,1396,1287,1175,1085,1025,957,888,826,729,638,564,506,446,410,376,331,288,263,246,199,181,171,157,150,130,115,102,85,76,70,61,53,52,46,38,36,32,26,23,19,19,16,16,12,11,9,9,9,6,4,4,4,3,3,3,2,2,2,1,2,2,1,1,1,1,1,
1,2,3,3,7,10,12,18,23,24,28,33,36,47,53,56,63,67,68,68,78,92,107,124,145,160,179,206,236,272,336,386,467,528,616,671,768,869,1010,1184,1317,1486,1660,1801,1943,2045,2297,2584,2882,3237,3512,3829,3903,4023,4054,4005,4051,3947,3871,3771,3659,3472,3212,2947,2879,2883,2748,2614,2383,2197,2095,2114,1937,1738,1547,1399,1286,1170,1052,945,832,765,670,591,549,495,445,400,353,310,274,247,225,193,172,170,147,125,115,101,96,89,84,76,75,76,66,63,56,48,40,36,39,35,34,34,32,33,29,25,22,23,21,21,20,22,18,16,17,16,15,16,18,18,19,19,19,18,20,23,25,
1,3,5,7,10,11,14,18,17,19,21,21,24,31,37,36,43,55,57,60,62,75,82,88,105,129,143,166,194,227,245,283,345,426,522,642,722,839,1017,1235,1444,1636,1834,1967,2125,2335,2574,2854,3100,3329,3473,3632,3602,3669,3591,3738,3774,3647,3505,3531,3487,3327,3220,3153,3038,2847,2730,2510,2437,2316,2114,1912,1749,1583,1430,1278,1136,1037,937,870,788,705,648,621,578,528,477,427,396,353,317,291,261,235,211,191,172,156,141,123,107,96,90,85,75,65,55,56,51,48,43,42,40,38,34,28,26,26,24,26,24,22,18,18,19,19,20,19,18,16,14,11,12,11,10,8,8,7,5,5,5,
1,2,2,2,3,5,5,8,10,13,18,17,18,20,24,26,33,39,52,59,64,77,87,98,106,126,153,172,201,235,297,408,481,567,662,742,843,991,1187,1376,1541,1787,2072,2418,2707,2851,2960,3060,3275,3490,3695,3868,3971,4059,4130,4130,4033,3942,3610,3319,3112,2916,2936,3057,3186,3403,3453,3186,2904,2585,2380,2119,1947,1798,1640,1495,1330,1199,1065,963,878,767,656,573,513,460,405,367,344,327,312,304,283,262,239,216,192,171,152,136,135,114,106,95,80,70,61,59,56,47,40,35,34,33,28,25,25,23,20,18,15,16,15,17,18,15,14,13,13,13,13,14,16,16,15,16,17,15,14,13,10,
1,2,4,3,6,8,12,18,25,32,35,37,44,55,63,68,73,88,101,118,135,146,176,195,214,249,248,259,283,327,368,425,491,563,640,720,827,933,1076,1203,1403,1617,1870,1994,2208,2333,2573,2753,2983,3266,3537,3817,4071,4110,4157,4142,4171,4205,4186,4151,4028,3840,3598,3397,3331,3263,3056,2763,2666,2507,2267,2059,1869,1728,1496,1335,1233,1195,1107,1011,926,825,762,691,613,549,506,449,393,348,308,290,253,233,217,191,169,151,151,149,141,134,127,124,112,102,97,92,86,75,62,53,41,37,33,28,27,21,15,14,13,12,11,8,8,7,7,7,6,6,6,4,5,2,1,1,1,1,1,1,1,
1,4,4,4,6,8,9,8,11,14,18,23,29,33,40,47,54,64,72,84,89,97,114,138,166,183,202,230,272,314,375,436,496,568,655,760,866,1024,1175,1331,1512,1664,1875,2062,2328,2575,2812,3008,3126,3312,3574,4011,4407,4561,4611,4413,4067,3717,3417,3188,3039,2951,2999,3102,2973,2826,2793,2824,2700,2579,2318,2103,1894,1700,1541,1424,1304,1220,1103,997,892,809,729,648,576,528,467,415,382,327,302,272,237,216,204,181,156,148,120,109,96,92,82,71,64,55,53,49,49,44,41,35,34,34,31,29,27,20,18,13,12,11,12,10,9,8,8,10,10,8,7,5,4,3,2,3,3,4,3,3,3,
1,2,4,5,7,7,8,9,8,8,10,16,21,21,27,28,36,44,52,60,69,71,88,107,126,137,156,189,227,273,310,374,459,537,595,675,779,842,952,1070,1199,1434,1652,1846,2071,2267,2469,2605,2857,3144,3259,3464,3714,3919,4114,4179,4226,4329,4347,4121,3814,3486,3318,3065,2853,2750,2749,2578,2451,2344,2171,1905,1811,1704,1593,1408,1299,1149,1019,933,843,758,694,619,557,512,453,394,347,302,272,241,219,195,171,153,143,135,137,134,129,127,116,109,106,100,92,88,85,75,66,60,52,48,43,38,35,34,28,25,23,15,14,12,10,10,11,9,8,8,7,6,6,6,4,4,5,5,3,3,3,
1,2,4,4,3,3,5,7,10,13,17,17,20,28,34,43,53,65,65,71,77,73,85,95,109,123,149,173,202,246,276,335,387,458,534,618,708,837,996,1184,1389,1669,1848,2078,2257,2472,2613,2819,2959,3117,3344,3660,3912,4112,4106,3994,3898,3909,3857,3549,3404,3177,2911,2778,2688,2622,2466,2336,2178,2017,1951,1846,1739,1658,1553,1459,1339,1177,1035,932,856,777,703,633,555,493,448,412,378,352,318,272,242,212,196,176,165,147,138,134,127,110,101,89,79,76,68,64,59,47,43,39,33,31,26,23,22,18,21,17,16,16,18,18,13,9,6,6,5,4,4,4,2,2,1,1,1,1,1,1,1,
1,3,4,6,8,11,11,10,12,14,22,25,30,34,36,39,46,58,63,79,79,89,103,118,123,139,151,172,207,231,258,292,374,440,542,663,801,916,1088,1216,1393,1556,1876,2098,2403,2634,2785,2929,3066,3166,3268,3394,3577,3787,3909,3877,3786,3549,3465,3216,3045,2919,2803,2733,2726,2748,2743,2593,2438,2357,2199,2047,1876,1727,1549,1465,1312,1195,1045,925,821,749,672,636,594,538,485,441,389,346,303,260,236,218,212,200,163,155,144,128,104,95,92,86,78,71,63,61,61,55,50,49,42,37,32,28,23,20,21,23,20,18,17,14,11,13,13,9,7,7,7,7,8,7,7,7,5,6,6,7,7,
1,1,1,2,2,2,3,4,5,8,10,13,18,16,24,31,44,53,58,64,72,79,96,118,142,146,175,190,231,265,302,325,379,439,534,640,744,872,1038,1230,1476,1695,1909,2078,2320,2557,2747,2851,2957,3020,3052,3038,3114,3215,3400,3621,3797,3936,4119,4297,4264,4113,3865,3451,3392,3300,3129,2941,2921,2767,2599,2402,2193,1955,1812,1639,1464,1346,1260,1158,1072,964,855,757,663,569,508,454,398,359,322,281,243,208,190,164,154,143,122,120,125,125,123,116,107,95,85,79,70,59,57,46,43,32,31,32,28,25,18,15,16,14,15,13,12,10,9,9,6,7,6,6,5,5,1,1,1,0,0,0,0,
