T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,2,3,6,7,9,11,13,18,23,32,58,76,125,152,196,224,259,329,400,463,527,651,782,972,1273,1643,2022,2421,2759,3095,3267,3427,3707,4075,4418,4637,4731,4970,5328,5447,5330,5245,4669,4186,3733,3395,3167,2866,2684,2436,2127,1858,1728,1579,1414,1241,1121,992,943,844,778,695,620,564,527,462,415,371,325,289,243,216,203,181,168,160,142,125,111,100,91,80,69,65,58,54,52,46,34,28,27,24,25,23,28,26,19,26,22,19,17,13,11,13,11,11,13,12,10,8,8,8,6,5,5,7,6,7,8,
1,2,3,5,7,10,11,12,20,20,38,56,75,140,167,218,275,335,431,561,717,916,1103,1358,1778,2260,2812,3314,3752,3908,4225,4458,4245,4108,4315,4828,5205,5324,4953,5050,4778,4581,4523,4398,3903,3578,3204,3111,2909,2587,2306,2064,1930,1782,1614,1451,1298,1166,1049,945,863,814,742,685,598,520,448,398,359,322,288,258,223,212,189,178,163,168,148,121,117,104,97,91,82,72,63,57,50,43,40,36,35,31,29,24,19,18,18,16,12,12,12,11,12,11,10,9,8,7,7,6,6,6,5,4,5,4,5,2,
1,2,4,5,4,7,8,12,18,25,42,58,74,97,128,146,169,199,253,334,407,483,588,697,862,1109,1408,1692,1995,2421,2924,3588,3978,4523,4919,5306,5232,4984,4888,4876,4887,4712,4632,4508,4367,3789,3264,3168,2803,2692,2486,2242,2112,1862,1736,1472,1325,1211,1040,883,800,708,642,606,538,483,436,379,358,314,310,277,251,233,227,218,198,176,151,139,112,109,92,86,75,65,62,54,56,45,37,35,34,25,24,19,17,17,15,14,9,10,9,10,9,8,8,8,9,8,10,13,14,18,16,18,16,15,15,11,
1,1,4,6,6,9,12,18,25,40,40,53,71,90,124,145,177,212,244,299,365,494,597,731,936,1136,1405,1584,1860,2208,2404,2569,2668,3033,3608,4132,4772,5501,6123,6399,6577,6373,5689,5060,4488,4045,3691,3449,3358,3130,2928,2674,2314,1996,1759,1515,1318,1191,1098,1083,1020,902,817,735,681,633,585,502,449,371,293,265,242,220,190,183,154,125,120,111,101,89,82,75,67,55,50,48,47,50,45,38,37,31,29,25,21,18,13,13,11,8,10,11,12,10,11,11,7,6,3,2,1,0,0,0,0,0,0,0,
1,1,3,4,4,6,8,11,19,24,31,45,58,88,111,133,160,198,257,321,380,445,561,672,809,1035,1373,1740,1991,2172,2473,2758,2966,3076,3359,3786,4239,4764,4743,4851,5159,5346,5067,4998,4360,4202,3943,3582,3392,2974,2531,2262,2006,1735,1558,1460,1306,1229,1098,1083,991,892,783,715,646,532,449,396,345,302,277,244,225,217,189,190,162,157,147,135,113,95,81,74,73,63,58,55,49,43,38,36,33,27,25,21,15,12,10,10,8,6,7,6,5,6,9,9,8,9,11,5,5,5,4,3,4,4,4,5,
1,1,3,4,4,6,8,11,19,24,31,45,58,88,111,133,160,198,257,321,380,445,561,672,809,1035,1373,1740,1991,2172,2473,2758,2966,3076,3359,3786,4239,4764,4743,4851,5159,5346,5067,4998,4360,4202,3943,3582,3392,2974,2531,2262,2006,1735,1558,1460,1306,1229,1098,1083,991,892,783,715,646,532,449,396,345,302,277,244,225,217,189,190,162,157,147,135,113,95,81,74,73,63,58,55,49,43,38,36,33,27,25,21,15,12,10,10,8,6,7,6,5,6,9,9,8,9,11,5,5,5,4,3,4,4,4,5,
1,2,2,4,5,7,12,12,20,28,41,46,67,88,111,131,157,193,242,317,397,485,637,823,1098,1390,1727,1882,2179,2595,2838,2916,3101,3462,3886,4462,5076,5715,5616,5562,5302,5038,4751,4623,4355,3987,3731,3580,3374,2965,2671,2349,2086,1828,1670,1576,1476,1304,1183,991,873,779,683,575,519,472,434,426,407,384,363,314,283,238,201,195,169,158,146,136,120,118,121,109,95,81,67,52,46,44,38,33,25,17,15,12,15,15,10,8,8,9,8,9,10,13,12,9,9,8,8,8,7,9,8,9,10,9,11,20,
1,2,2,4,5,7,12,12,20,28,41,46,67,88,111,131,157,193,242,317,397,485,637,823,1098,1390,1727,1882,2179,2595,2838,2916,3101,3462,3886,4462,5076,5715,5616,5562,5302,5038,4751,4623,4355,3987,3731,3580,3374,2965,2671,2349,2086,1828,1670,1576,1476,1304,1183,991,873,779,683,575,519,472,434,426,407,384,363,314,283,238,201,195,169,158,146,136,120,118,121,109,95,81,67,52,46,44,38,33,25,17,15,12,15,15,10,8,8,9,8,9,10,13,12,9,9,8,8,8,7,9,8,9,10,9,11,20,
1,2,2,4,5,7,12,12,20,28,41,46,67,88,111,131,157,193,242,317,397,485,637,823,1098,1390,1727,1882,2179,2595,2838,2916,3101,3462,3886,4462,5076,5715,5616,5562,5302,5038,4751,4623,4355,3987,3731,3580,3374,2965,2671,2349,2086,1828,1670,1576,1476,1304,1183,991,873,779,683,575,519,472,434,426,407,384,363,314,283,238,201,195,169,158,146,136,120,118,121,109,95,81,67,52,46,44,38,33,25,17,15,12,15,15,10,8,8,9,8,9,10,13,12,9,9,8,8,8,7,9,8,9,10,9,11,20,
1,2,2,4,5,7,12,12,20,28,41,46,67,88,111,131,157,193,242,317,397,485,637,823,1098,1390,1727,1882,2179,2595,2838,2916,3101,3462,3886,4462,5076,5715,5616,5562,5302,5038,4751,4623,4355,3987,3731,3580,3374,2965,2671,2349,2086,1828,1670,1576,1476,1304,1183,991,873,779,683,575,519,472,434,426,407,384,363,314,283,238,201,195,169,158,146,136,120,118,121,109,95,81,67,52,46,44,38,33,25,17,15,12,15,15,10,8,8,9,8,9,10,13,12,9,9,8,8,8,7,9,8,9,10,9,11,20,
1,2,2,4,5,7,12,12,20,28,41,46,67,88,111,131,157,193,242,317,397,485,637,823,1098,1390,1727,1882,2179,2595,2838,2916,3101,3462,3886,4462,5076,5715,5616,5562,5302,5038,4751,4623,4355,3987,3731,3580,3374,2965,2671,2349,2086,1828,1670,1576,1476,1304,1183,991,873,779,683,575,519,472,434,426,407,384,363,314,283,238,201,195,169,158,146,136,120,118,121,109,95,81,67,52,46,44,38,33,25,17,15,12,15,15,10,8,8,9,8,9,10,13,12,9,9,8,8,8,7,9,8,9,10,9,11,20,
1,2,3,5,6,8,8,11,25,34,39,50,74,94,113,161,198,239,274,332,407,480,540,653,918,1074,1308,1546,1826,1983,2370,2762,3123,3740,4400,4857,5101,5268,5653,6048,5843,5758,5302,5242,5110,4519,4084,3863,3528,3109,2821,2507,2294,2057,1818,1616,1346,1243,1119,1041,988,956,832,752,673,586,547,498,441,409,360,310,276,263,237,214,212,192,158,131,110,91,78,74,57,45,40,37,34,32,27,28,22,17,16,13,14,13,11,9,8,8,11,11,12,12,12,11,11,9,8,7,5,5,4,4,5,4,3,4,
1,2,3,5,6,8,8,11,25,34,39,50,74,94,113,161,198,239,274,332,407,480,540,653,918,1074,1308,1546,1826,1983,2370,2762,3123,3740,4400,4857,5101,5268,5653,6048,5843,5758,5302,5242,5110,4519,4084,3863,3528,3109,2821,2507,2294,2057,1818,1616,1346,1243,1119,1041,988,956,832,752,673,586,547,498,441,409,360,310,276,263,237,214,212,192,158,131,110,91,78,74,57,45,40,37,34,32,27,28,22,17,16,13,14,13,11,9,8,8,11,11,12,12,12,11,11,9,8,7,5,5,4,4,5,4,3,4,
1,2,3,6,5,10,15,15,21,23,29,46,65,92,111,154,183,200,256,284,345,397,453,603,820,1066,1356,1683,2140,2488,2959,3342,3594,3833,3853,4219,4470,5015,5045,4906,4721,4681,4373,4028,3994,3964,3878,3671,3428,3039,2741,2337,1971,1733,1567,1337,1219,1128,983,887,797,725,606,512,456,468,451,449,436,403,362,338,294,257,226,191,156,129,117,118,103,87,70,60,46,42,36,37,37,35,31,24,22,22,17,15,13,8,3,3,3,3,4,5,5,6,7,8,10,9,10,8,9,8,8,8,10,7,5,5,
1,2,2,6,9,13,15,29,32,29,37,45,66,91,115,142,163,188,230,277,363,477,581,706,853,1122,1364,1644,1909,2160,2708,3170,3692,4009,4431,4984,5197,4959,4863,4487,4196,4028,4271,4104,3919,3563,3358,3158,2981,2594,2292,1990,1834,1704,1525,1422,1245,1144,1050,1013,939,880,818,732,663,588,498,414,393,363,321,311,301,276,237,205,183,157,153,138,124,100,89,75,65,53,45,39,33,35,36,32,24,21,20,10,8,6,7,6,7,6,6,10,9,10,11,13,16,14,10,10,10,10,6,3,3,1,1,1,
1,2,3,5,6,12,11,14,24,25,33,53,66,89,112,150,177,190,238,294,335,401,494,691,887,1241,1696,2162,2583,2878,2940,3110,3326,3502,4118,4570,4876,4778,4475,4512,4687,4827,4788,4412,3776,3367,3148,2925,2715,2349,2097,1917,1693,1584,1452,1285,1172,1058,927,833,815,852,785,684,566,518,488,453,404,367,327,286,256,235,236,216,185,162,155,147,131,126,110,99,80,65,56,49,43,40,33,30,29,25,20,18,15,13,8,7,6,6,9,6,7,9,11,8,6,6,7,7,9,9,9,10,10,9,7,9,
1,2,3,5,6,12,11,14,24,25,33,53,66,89,112,150,177,190,238,294,335,401,494,691,887,1241,1696,2162,2583,2878,2940,3110,3326,3502,4118,4570,4876,4778,4475,4512,4687,4827,4788,4412,3776,3367,3148,2925,2715,2349,2097,1917,1693,1584,1452,1285,1172,1058,927,833,815,852,785,684,566,518,488,453,404,367,327,286,256,235,236,216,185,162,155,147,131,126,110,99,80,65,56,49,43,40,33,30,29,25,20,18,15,13,8,7,6,6,9,6,7,9,11,8,6,6,7,7,9,9,9,10,10,9,7,9,
1,2,3,5,6,12,11,14,24,25,33,53,66,89,112,150,177,190,238,294,335,401,494,691,887,1241,1696,2162,2583,2878,2940,3110,3326,3502,4118,4570,4876,4778,4475,4512,4687,4827,4788,4412,3776,3367,3148,2925,2715,2349,2097,1917,1693,1584,1452,1285,1172,1058,927,833,815,852,785,684,566,518,488,453,404,367,327,286,256,235,236,216,185,162,155,147,131,126,110,99,80,65,56,49,43,40,33,30,29,25,20,18,15,13,8,7,6,6,9,6,7,9,11,8,6,6,7,7,9,9,9,10,10,9,7,9,
1,2,3,5,7,11,16,20,30,36,45,66,86,109,118,151,181,190,218,267,323,387,450,576,780,1026,1494,2033,2553,3081,3288,3342,3575,3775,3968,4197,4241,4337,4281,4111,4062,3918,3776,3803,3803,3445,3202,3133,2836,2561,2255,2073,2080,2018,1831,1623,1390,1173,1006,847,776,661,583,498,433,371,334,289,265,248,252,254,257,248,209,174,142,122,111,99,88,77,61,52,45,39,39,38,31,32,27,26,25,20,17,17,13,12,11,9,9,6,4,6,7,10,9,8,8,7,6,4,4,5,5,4,5,4,4,3,
1,2,4,4,4,6,9,12,16,21,27,43,58,86,100,143,196,233,280,331,377,422,505,622,786,1012,1284,1645,2109,2685,3138,3403,3606,3802,3954,4002,4125,4244,4380,4621,4888,5121,4818,4472,3984,3408,3068,2981,2951,2807,2476,2252,1972,1811,1642,1524,1291,1093,921,826,760,662,614,523,468,394,367,337,297,295,295,306,299,271,252,205,173,153,131,114,104,95,79,64,63,59,57,47,47,38,36,34,29,24,24,23,16,14,14,7,5,6,6,8,9,12,11,8,9,9,11,13,12,9,8,7,8,9,10,14,
1,1,3,4,5,7,13,14,20,27,33,51,56,82,107,145,192,222,285,388,457,545,657,849,947,1109,1419,1639,1982,2524,2994,3767,4238,4745,4656,4491,4292,4178,4050,4353,4396,4660,4224,3678,3212,2759,2674,2659,2376,2208,1968,1866,1811,1695,1555,1393,1220,1047,931,800,704,616,588,519,473,397,350,319,300,289,291,268,219,195,168,137,118,106,108,93,77,64,63,65,61,49,50,46,39,37,31,32,27,24,19,16,14,13,6,7,7,7,6,9,9,11,12,9,11,8,8,6,5,7,10,14,17,16,19,21,
