T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,T_141,T_142,T_143,T_144,T_145,T_146,T_147,T_148,T_149,T_150,T_151,T_152,T_153,T_154,T_155,T_156,T_157,T_158,T_159,T_160,T_161,T_162,T_163,T_164,T_165,T_166,T_167,T_168,T_169,T_170,T_171,T_172,T_173,T_174,T_175,T_176,T_177,T_178,T_179,T_180,T_181,T_182,T_183,T_184,T_185,T_186,T_187,T_188,T_189,T_190,T_191,T_192,T_193,T_194,T_195,T_196,T_197,T_198,T_199,T_200,T_201,T_202,T_203,T_204,T_205,T_206,T_207,T_208,T_209,T_210,T_211,T_212,T_213,T_214,T_215,T_216,T_217,T_218,T_219,T_220,T_221,T_222,T_223,T_224,T_225,T_226,T_227,T_228,T_229,T_230,T_231,T_232,T_233,T_234,T_235,T_236,T_237,T_238,T_239,T_240,T_241,T_242,T_243,T_244,T_245,T_246,T_247,T_248,T_249,T_250,
490,542,595,621,668,689,713,717,749,776,791,832,890,913,937,958,997,1013,1026,1004,1003,1021,1030,1042,1061,1078,1073,1054,1037,1019,1003,988,972,957,971,1002,981,1000,987,999,1076,1079,1135,1136,1114,1106,1141,1154,1148,1173,1233,1298,1361,1433,1570,1746,1906,1994,2123,2127,2101,2053,2100,2185,2274,2416,2543,2561,2642,2707,2822,2772,2769,2728,2706,2636,2691,2789,2764,2743,2684,2666,2625,2574,2613,2579,2534,2463,2453,2410,2362,2370,2343,2331,2297,2266,2226,2169,2127,2112,2065,2047,2003,1977,1942,1913,1880,1854,1817,1803,1790,1762,1721,1703,1675,1647,1616,1613,1633,1707,1680,1654,1625,1607,1577,1544,1516,1485,1473,1451,1446,1431,1440,1409,1426,1402,1406,1386,1364,1365,1383,1347,1370,1359,1332,1323,1335,1404,1469,1694,1867,2043,2248,
461,501,526,530,538,535,562,601,656,728,746,782,795,792,775,788,844,917,964,981,990,1006,1007,1006,990,998,993,994,988,997,997,1030,1023,1033,1035,1032,1034,1061,1045,1044,1083,1116,1093,1082,1082,1102,1152,1182,1202,1192,1183,1187,1242,1243,1315,1386,1507,1631,1660,1651,1642,1683,1751,1819,1868,1866,1945,1978,2043,2089,2060,2044,2013,1978,1941,1897,1914,1892,1850,1846,1803,1781,1781,1754,1801,1769,1742,1703,1712,1713,1691,1652,1635,1612,1592,1550,1590,1577,1591,1559,1544,1512,1504,1483,1467,1440,1408,1378,1356,1340,1341,1323,1303,1283,1262,1240,1213,1184,1192,1206,1183,1159,1158,1131,1114,1089,1089,1060,1087,1102,1123,1119,1093,1096,1089,1057,1041,1065,1075,1049,1057,1053,1073,1099,1128,1136,1189,1192,1210,1222,1253,1360,1438,
411,439,476,514,554,618,710,782,839,889,962,1050,1101,1148,1236,1346,1406,1455,1486,1505,1516,1517,1555,1611,1603,1611,1611,1559,1528,1530,1507,1533,1505,1503,1496,1461,1423,1395,1389,1421,1439,1482,1497,1521,1618,1665,1666,1639,1593,1558,1631,1762,1926,2068,2253,2458,2590,2641,2591,2547,2607,2663,2625,2574,2529,2524,2487,2449,2408,2407,2377,2384,2404,2382,2383,2387,2317,2264,2208,2143,2098,2065,2014,1968,1912,1877,1840,1826,1801,1759,1710,1683,1669,1624,1608,1593,1558,1514,1482,1453,1427,1394,1361,1368,1366,1371,1358,1355,1333,1298,1290,1288,1297,1382,1443,1534,1581,1578,1559,1643,1679,1686,1653,1611,1580,1598,1547,1521,1575,1613,1654,1679,1659,1678,1662,1617,1631,1622,1591,1575,1603,1588,1641,1687,1696,1693,1713,1686,1672,1701,1739,1801,1798,
411,439,476,514,554,618,710,782,839,889,962,1050,1101,1148,1236,1346,1406,1455,1486,1505,1516,1517,1555,1611,1603,1611,1611,1559,1528,1530,1507,1533,1505,1503,1496,1461,1423,1395,1389,1421,1439,1482,1497,1521,1618,1665,1666,1639,1593,1558,1631,1762,1926,2068,2253,2458,2590,2641,2591,2547,2607,2663,2625,2574,2529,2524,2487,2449,2408,2407,2377,2384,2404,2382,2383,2387,2317,2264,2208,2143,2098,2065,2014,1968,1912,1877,1840,1826,1801,1759,1710,1683,1669,1624,1608,1593,1558,1514,1482,1453,1427,1394,1361,1368,1366,1371,1358,1355,1333,1298,1290,1288,1297,1382,1443,1534,1581,1578,1559,1643,1679,1686,1653,1611,1580,1598,1547,1521,1575,1613,1654,1679,1659,1678,1662,1617,1631,1622,1591,1575,1603,1588,1641,1687,1696,1693,1713,1686,1672,1701,1739,1801,1798,
433,454,500,557,613,670,705,765,791,834,889,949,1050,1072,1118,1160,1226,1306,1345,1371,1373,1371,1399,1403,1402,1383,1423,1437,1428,1417,1394,1358,1353,1336,1321,1347,1330,1306,1317,1333,1388,1401,1425,1427,1419,1374,1361,1325,1320,1304,1319,1509,1721,1915,2054,2132,2227,2392,2558,2626,2566,2556,2585,2550,2562,2516,2497,2415,2393,2341,2332,2279,2223,2173,2124,2066,2034,2034,1993,1952,1967,1928,1935,1901,1864,1837,1795,1762,1734,1695,1665,1642,1621,1604,1599,1590,1536,1503,1467,1434,1406,1387,1350,1323,1313,1301,1312,1307,1275,1248,1227,1200,1213,1245,1286,1314,1371,1449,1491,1470,1503,1470,1446,1408,1396,1424,1392,1443,1444,1435,1415,1376,1333,1310,1274,1287,1308,1322,1311,1311,1372,1454,1516,1552,1598,1624,1661,1678,1705,1727,1757,1754,1844,
420,456,476,489,518,556,621,641,672,784,875,966,1057,1110,1191,1227,1294,1321,1318,1348,1334,1328,1299,1269,1285,1332,1342,1355,1324,1314,1276,1302,1288,1275,1284,1265,1257,1211,1226,1234,1227,1222,1247,1270,1294,1284,1282,1330,1361,1447,1445,1483,1485,1616,1783,1940,2068,2218,2365,2570,2679,2598,2527,2458,2446,2417,2345,2332,2281,2225,2176,2112,2054,1973,1915,1891,1818,1770,1727,1669,1621,1582,1526,1497,1469,1466,1442,1396,1352,1318,1297,1283,1234,1212,1202,1181,1165,1145,1116,1106,1108,1113,1124,1130,1172,1215,1188,1158,1127,1080,1070,1097,1150,1191,1236,1284,1307,1309,1316,1372,1400,1407,1401,1347,1336,1304,1278,1237,1234,1196,1204,1202,1213,1233,1250,1273,1289,1287,1255,1268,1268,1307,1359,1358,1427,1466,1508,1501,1508,1499,1558,1562,1562,
475,506,524,530,562,594,624,663,715,748,801,884,928,924,942,976,1002,1029,1139,1220,1254,1299,1285,1258,1231,1254,1265,1273,1278,1263,1269,1228,1235,1260,1304,1326,1309,1279,1244,1244,1207,1202,1240,1256,1264,1248,1279,1300,1361,1406,1457,1537,1538,1597,1637,1709,1815,1920,2053,2180,2253,2322,2380,2387,2394,2318,2230,2175,2116,2058,1979,1927,1843,1800,1776,1723,1665,1628,1566,1504,1459,1494,1466,1455,1431,1401,1368,1325,1281,1235,1204,1176,1142,1129,1123,1139,1140,1113,1071,1081,1108,1099,1068,1066,1061,1036,1022,1058,1042,1054,1080,1126,1158,1212,1244,1296,1338,1380,1387,1365,1346,1329,1317,1286,1301,1279,1289,1301,1286,1284,1236,1222,1261,1269,1276,1269,1287,1311,1316,1347,1317,1328,1301,1281,1288,1294,1312,1322,1272,1269,1288,1328,1439,
467,495,507,560,605,626,659,729,780,846,966,1062,1132,1198,1204,1140,1136,1124,1101,1093,1148,1186,1215,1266,1317,1360,1424,1381,1380,1363,1358,1376,1389,1336,1281,1230,1211,1228,1260,1274,1322,1319,1272,1232,1173,1129,1087,1068,1105,1156,1243,1341,1402,1510,1595,1744,1895,2030,2166,2308,2456,2560,2561,2562,2490,2428,2303,2291,2259,2162,2084,1971,1899,1847,1775,1687,1619,1558,1515,1474,1401,1329,1287,1272,1228,1183,1204,1181,1130,1080,1053,1002,964,931,927,890,890,868,863,858,879,911,946,983,1032,1047,1057,1087,1113,1089,1088,1073,1059,1096,1130,1111,1117,1186,1228,1297,1345,1379,1430,1495,1560,1609,1625,1569,1510,1462,1422,1392,1384,1383,1369,1306,1265,1244,1238,1221,1182,1216,1254,1321,1330,1372,1387,1409,1441,1541,1624,1713,1814,
487,485,498,552,591,632,677,706,730,756,814,823,886,937,984,1062,1112,1112,1140,1176,1169,1226,1239,1237,1234,1242,1303,1375,1381,1350,1328,1338,1314,1239,1187,1141,1130,1140,1168,1211,1257,1257,1227,1200,1205,1238,1265,1221,1241,1252,1279,1350,1310,1299,1352,1511,1706,1891,2056,2249,2335,2407,2394,2411,2291,2185,2227,2227,2151,2083,2045,1946,1844,1762,1666,1591,1527,1483,1465,1408,1361,1347,1314,1275,1238,1162,1088,1041,994,980,962,932,922,915,896,890,913,917,908,890,891,883,909,898,900,877,880,914,952,975,1006,1005,1044,1127,1192,1270,1354,1341,1369,1402,1434,1400,1345,1298,1260,1195,1140,1094,1103,1171,1196,1218,1231,1205,1185,1173,1171,1133,1129,1116,1098,1121,1115,1163,1199,1252,1323,1360,1436,1506,1533,1614,1673,
479,483,505,524,559,585,621,661,705,725,748,777,798,810,880,919,960,988,983,987,950,945,999,1023,1071,1101,1110,1149,1202,1218,1173,1181,1171,1172,1156,1163,1161,1112,1085,1080,1060,1065,1063,1074,1086,1097,1098,1089,1101,1146,1133,1135,1232,1324,1424,1500,1619,1722,1802,1928,2010,1985,1925,1863,1844,1757,1674,1649,1567,1492,1422,1396,1332,1320,1266,1213,1172,1129,1092,1035,974,939,930,922,945,957,951,920,876,845,836,821,818,828,840,809,782,760,750,728,715,722,711,707,739,745,744,736,724,732,749,780,812,833,872,889,929,962,1017,1066,1076,1095,1106,1100,1120,1121,1138,1123,1069,1025,978,975,976,973,980,957,929,921,944,989,1027,1068,1090,1150,1163,1169,1214,1237,1286,1345,1366,1394,1400,
