"t","S","E","I","R","psi","Total"
"0","19999","0","1","0","0","20000"
"1.04795916628318","19998","1","1","0","0","20000"
"1.83300949384323","19997","2","1","0","0","20000"
"2.4001589994483","19997","1","2","0","0","20000"
"2.79475037239047","19996","2","2","0","0","20000"
"3.0556359972164","19996","1","3","0","0","20000"
"3.5475757056566","19995","2","3","0","0","20000"
"4.05415381973031","19994","3","3","0","0","20000"
"4.13716188084997","19994","3","2","1","0","20000"
"4.37306708418788","19993","4","2","1","0","20000"
"5.1086978352028","19993","3","3","1","0","20000"
"5.25414120277547","19993","2","4","1","0","20000"
"5.72105905822696","19993","2","3","2","0","20000"
"5.8970042035382","19992","3","3","2","0","20000"
"6.34538566137618","19991","4","3","2","0","20000"
"6.80850906029391","19990","5","3","2","0","20000"
"7.21482368452505","19989","6","3","2","0","20000"
"7.49308547493504","19988","7","3","2","0","20000"
"7.67876062584511","19987","8","3","2","0","20000"
"7.80289893471469","19987","7","4","2","0","20000"
"8.01437837507416","19986","8","4","2","0","20000"
"8.08308789788852","19985","9","4","2","0","20000"
"8.23094702705144","19985","8","5","2","0","20000"
"8.51123425274458","19984","9","5","2","0","20000"
"8.57461155275921","19983","10","5","2","0","20000"
"8.68637795389404","19983","9","6","2","0","20000"
"8.68776626260843","19982","10","6","2","0","20000"
"8.7470912177157","19982","9","7","2","0","20000"
"9.00779257869761","19982","9","6","3","0","20000"
"9.14642360273635","19982","8","7","3","0","20000"
"9.18299251002658","19981","9","7","3","0","20000"
"9.24781296888738","19981","9","6","4","0","20000"
"9.28074125711514","19980","10","6","4","0","20000"
"9.44750134715675","19979","11","6","4","0","20000"
"9.49102107327055","19978","12","6","4","0","20000"
"9.56225162712867","19978","11","7","4","0","20000"
"9.56897382819147","19978","10","8","4","0","20000"
"9.60989022494171","19977","11","8","4","0","20000"
"9.82166533564876","19976","12","8","4","0","20000"
"10.1878766500936","19975","13","8","4","0","20000"
"10.2422545732679","19974","14","8","4","0","20000"
"10.348433584943","19973","15","8","4","0","20000"
"10.4744016103847","19973","14","9","4","0","20000"
"10.4838158878322","19972","15","9","4","0","20000"
"10.5131642985152","19971","16","9","4","0","20000"
"10.6854451816881","19971","15","10","4","0","20000"
"10.7596735978643","19971","14","11","4","0","20000"
"10.8636241745565","19970","15","11","4","0","20000"
"10.8683346467739","19969","16","11","4","0","20000"
"10.9182066348191","19969","16","10","5","0","20000"
"11.0415743939144","19969","15","11","5","0","20000"
"11.0626634961078","19968","16","11","5","0","20000"
"11.1117579691403","19968","16","10","5","1","20000"
"11.1313606963239","19967","17","10","5","1","20000"
"11.2180306661754","19966","18","10","5","1","20000"
"11.4058275805765","19966","18","9","5","2","20000"
"11.4723886598246","19966","17","10","5","2","20000"
"11.5410864211416","19966","16","11","5","2","20000"
"11.68816342935","19965","17","11","5","2","20000"
"11.7253348441278","19965","16","12","5","2","20000"
"11.7344699552437","19964","17","12","5","2","20000"
"11.7560385258167","19964","16","13","5","2","20000"
"11.801454271317","19964","15","14","5","2","20000"
"11.877613754072","19963","16","14","5","2","20000"
"11.8948737574244","19962","17","14","5","2","20000"
"11.9051676457169","19961","18","14","5","2","20000"
"11.9847996586518","19960","19","14","5","2","20000"
"12.0131872767028","19960","18","15","5","2","20000"
"12.112813399047","19960","18","14","6","2","20000"
"12.1683324815945","19960","17","15","6","2","20000"
"12.1923676254954","19959","18","15","6","2","20000"
"12.3217852562907","19959","18","14","7","2","20000"
"12.345909000726","19958","19","14","7","2","20000"
"12.3955560879004","19957","20","14","7","2","20000"
"12.4826557554818","19956","21","14","7","2","20000"
"12.5172807411461","19955","22","14","7","2","20000"
"12.5347594455486","19954","23","14","7","2","20000"
"12.5455685863128","19953","24","14","7","2","20000"
"12.6481990530664","19952","25","14","7","2","20000"
"12.6594693751341","19951","26","14","7","2","20000"
"12.666880460405","19951","25","15","7","2","20000"
"12.7386964332746","19951","25","14","8","2","20000"
"12.849711615247","19950","26","14","8","2","20000"
"13.0168891009922","19949","27","14","8","2","20000"
"13.0336696048226","19949","26","15","8","2","20000"
"13.0841498449974","19949","25","16","8","2","20000"
"13.0992872704792","19948","26","16","8","2","20000"
"13.1020487369246","19948","25","17","8","2","20000"
"13.2705607147447","19948","25","16","9","2","20000"
"13.2879066923323","19947","26","16","9","2","20000"
"13.4875136640012","19947","26","15","10","2","20000"
"13.5122887141686","19947","25","16","10","2","20000"
"13.6695813293667","19946","26","16","10","2","20000"
"13.6990169198645","19945","27","16","10","2","20000"
"13.7279860432019","19945","26","17","10","2","20000"
"13.8079760576258","19944","27","17","10","2","20000"
"13.8336260786437","19944","26","18","10","2","20000"
"13.9774075199733","19943","27","18","10","2","20000"
"13.9978702834282","19943","26","19","10","2","20000"
"14.1039507972782","19943","25","20","10","2","20000"
"14.1661519585258","19942","26","20","10","2","20000"
"14.2541944824859","19941","27","20","10","2","20000"
"14.2570658186644","19941","26","21","10","2","20000"
"14.2666693964182","19940","27","21","10","2","20000"
"14.3055515517739","19939","28","21","10","2","20000"
"14.3297185634249","19939","28","20","11","2","20000"
"14.4156681183285","19939","27","21","11","2","20000"
"14.7135581186783","19939","26","22","11","2","20000"
"14.8438480682254","19939","26","21","12","2","20000"
"14.8484931894183","19939","26","20","13","2","20000"
"14.8668761855703","19938","27","20","13","2","20000"
"14.8758030971873","19937","28","20","13","2","20000"
"14.8782260108019","19937","27","21","13","2","20000"
"14.8833300138079","19936","28","21","13","2","20000"
"14.9014687828622","19936","27","22","13","2","20000"
"14.9545164842897","19936","27","21","13","3","20000"
"14.9582936059838","19935","28","21","13","3","20000"
"14.969121839545","19934","29","21","13","3","20000"
"15.2674648052503","19934","28","22","13","3","20000"
"15.2975248485209","19934","27","23","13","3","20000"
"15.3480656349812","19934","27","22","14","3","20000"
"15.3793477703807","19934","27","21","15","3","20000"
"15.4272643695376","19933","28","21","15","3","20000"
"15.4598658490962","19933","27","22","15","3","20000"
"15.4615933464842","19932","28","22","15","3","20000"
"15.4877071744681","19931","29","22","15","3","20000"
"15.5570242671052","19930","30","22","15","3","20000"
"15.7057416773411","19929","31","22","15","3","20000"
"15.7740919017328","19928","32","22","15","3","20000"
"15.7752207320506","19927","33","22","15","3","20000"
"15.8054837928279","19927","33","21","16","3","20000"
"15.8892455168019","19927","33","20","17","3","20000"
"15.9644429498041","19927","32","21","17","3","20000"
"15.9679653427712","19926","33","21","17","3","20000"
"15.974498729276","19925","34","21","17","3","20000"
"15.9778336295802","19925","33","22","17","3","20000"
"16.0216439979119","19924","34","22","17","3","20000"
"16.0617269783813","19923","35","22","17","3","20000"
"16.1260056397494","19923","34","23","17","3","20000"
"16.2191159538204","19923","34","22","18","3","20000"
"16.2340012337207","19922","35","22","18","3","20000"
"16.2512524344525","19921","36","22","18","3","20000"
"16.2715142479986","19921","36","21","19","3","20000"
"16.3826252419499","19921","36","20","20","3","20000"
"16.3875631044959","19920","37","20","20","3","20000"
"16.407514610273","19920","36","21","20","3","20000"
"16.4331173333268","19919","37","21","20","3","20000"
"16.4372060765826","19919","36","22","20","3","20000"
"16.5031919186937","19918","37","22","20","3","20000"
"16.5486620716178","19918","37","21","21","3","20000"
"16.595219312202","19918","37","20","22","3","20000"
"16.6677435605685","19917","38","20","22","3","20000"
"16.7075959376998","19916","39","20","22","3","20000"
"16.7212098225659","19915","40","20","22","3","20000"
"16.8902450938677","19915","39","21","22","3","20000"
"16.9902159573785","19914","40","21","22","3","20000"
"17.0889487665654","19914","39","22","22","3","20000"
"17.1103639791701","19913","40","22","22","3","20000"
"17.1866430005149","19913","39","23","22","3","20000"
"17.1962299068874","19913","39","22","22","4","20000"
"17.2394498663578","19912","40","22","22","4","20000"
"17.2646851271075","19912","40","21","23","4","20000"
"17.31254375186","19911","41","21","23","4","20000"
"17.3228622335329","19911","40","22","23","4","20000"
"17.3317716614811","19911","39","23","23","4","20000"
"17.366881434935","19910","40","23","23","4","20000"
"17.441565991454","19909","41","23","23","4","20000"
"17.4547381403158","19909","41","22","24","4","20000"
"17.4606245049395","19909","40","23","24","4","20000"
"17.4786126001687","19909","40","22","25","4","20000"
"17.4925918791913","19908","41","22","25","4","20000"
"17.5223373532168","19908","41","21","26","4","20000"
"17.5952409317592","19908","40","22","26","4","20000"
"17.6608089272879","19907","41","22","26","4","20000"
"17.66167340432","19907","40","23","26","4","20000"
"17.7469137130374","19906","41","23","26","4","20000"
"17.7787022138953","19905","42","23","26","4","20000"
"17.8311350186387","19905","41","24","26","4","20000"
"17.907833192502","19904","42","24","26","4","20000"
"17.9209352029292","19903","43","24","26","4","20000"
"17.9459345621579","19902","44","24","26","4","20000"
"18.0125442065303","19902","43","25","26","4","20000"
"18.0321782839804","19901","44","25","26","4","20000"
"18.0548059758313","19900","45","25","26","4","20000"
"18.0730214856017","19900","44","26","26","4","20000"
"18.1009882483136","19899","45","26","26","4","20000"
"18.1027760032793","19898","46","26","26","4","20000"
"18.1115693783097","19897","47","26","26","4","20000"
"18.1125673708505","19897","46","27","26","4","20000"
"18.1393951612813","19896","47","27","26","4","20000"
"18.1828339510983","19895","48","27","26","4","20000"
"18.1845144382607","19895","47","28","26","4","20000"
"18.1848884998911","19895","46","29","26","4","20000"
"18.2047151860423","19894","47","29","26","4","20000"
"18.2172552179673","19894","46","30","26","4","20000"
"18.2297110862327","19893","47","30","26","4","20000"
"18.2404278935569","19893","46","31","26","4","20000"
"18.2504801837344","19892","47","31","26","4","20000"
"18.3079411633263","19892","46","32","26","4","20000"
"18.3118422066241","19891","47","32","26","4","20000"
"18.3346001904982","19890","48","32","26","4","20000"
"18.3642332105116","19889","49","32","26","4","20000"
"18.4316282855182","19889","48","33","26","4","20000"
"18.4531843557595","19889","47","34","26","4","20000"
"18.48142420468","19888","48","34","26","4","20000"
"18.5026549951268","19888","47","35","26","4","20000"
"18.5028955398282","19888","46","36","26","4","20000"
"18.5532695459563","19887","47","36","26","4","20000"
"18.581409065477","19887","46","37","26","4","20000"
"18.5973487208481","19886","47","37","26","4","20000"
"18.6159521459065","19886","47","36","27","4","20000"
"18.6273776430007","19886","46","37","27","4","20000"
"18.6377643595005","19885","47","37","27","4","20000"
"18.677513696785","19884","48","37","27","4","20000"
"18.7132534094558","19883","49","37","27","4","20000"
"18.7309635465948","19882","50","37","27","4","20000"
"18.7748646341291","19882","49","38","27","4","20000"
"18.7800901249839","19882","49","37","28","4","20000"
"18.8004643791265","19881","50","37","28","4","20000"
"18.804966251647","19880","51","37","28","4","20000"
"18.8510272441896","19879","52","37","28","4","20000"
"18.8723976302986","19879","52","36","29","4","20000"
"18.8767091687521","19879","52","35","30","4","20000"
"18.8914206524575","19878","53","35","30","4","20000"
"18.941267789965","19877","54","35","30","4","20000"
"18.9633596799353","19876","55","35","30","4","20000"
"18.9964959806581","19876","54","36","30","4","20000"
"18.9970445632371","19876","54","35","31","4","20000"
"19.0397443330049","19875","55","35","31","4","20000"
"19.0459115519861","19875","55","34","32","4","20000"
"19.0585159509463","19874","56","34","32","4","20000"
"19.1002741970617","19874","55","35","32","4","20000"
"19.107474909201","19873","56","35","32","4","20000"
"19.1372585580987","19872","57","35","32","4","20000"
"19.155897339476","19872","56","36","32","4","20000"
"19.1698353108119","19872","55","37","32","4","20000"
"19.1741948971196","19871","56","37","32","4","20000"
"19.2332290320745","19870","57","37","32","4","20000"
"19.3069674462425","19869","58","37","32","4","20000"
"19.3270585998946","19868","59","37","32","4","20000"
"19.3340701758726","19868","58","38","32","4","20000"
"19.3956285945276","19867","59","38","32","4","20000"
"19.4200713795963","19866","60","38","32","4","20000"
"19.5377012096743","19866","59","39","32","4","20000"
"19.5779803118968","19865","60","39","32","4","20000"
"19.5875666241404","19864","61","39","32","4","20000"
"19.6200896007549","19864","60","40","32","4","20000"
"19.6204492625761","19864","59","41","32","4","20000"
"19.6656467911106","19863","60","41","32","4","20000"
"19.6904618350307","19862","61","41","32","4","20000"
"19.7282798094625","19862","60","42","32","4","20000"
"19.7310783158445","19861","61","42","32","4","20000"
"19.7942708106698","19860","62","42","32","4","20000"
"19.8216941528881","19859","63","42","32","4","20000"
"19.8477005180943","19859","63","41","33","4","20000"
"19.8596393638805","19858","64","41","33","4","20000"
"19.8726109881346","19857","65","41","33","4","20000"
"19.8803515136538","19857","65","40","33","5","20000"
"19.8935373143","19856","66","40","33","5","20000"
"19.9030715102168","19855","67","40","33","5","20000"
"19.9093561955071","19854","68","40","33","5","20000"
"19.9237938742956","19853","69","40","33","5","20000"
"19.9245736569211","19852","70","40","33","5","20000"
"19.9540104643108","19852","70","39","34","5","20000"
"20.034124601784","19852","69","40","34","5","20000"
"20.1242241474676","19851","70","40","34","5","20000"
"20.1287217087597","19851","69","41","34","5","20000"
"20.1342454740867","19851","68","42","34","5","20000"
"20.1943168662219","19850","69","42","34","5","20000"
"20.2133989685818","19850","69","41","34","6","20000"
"20.3202635077793","19850","69","40","35","6","20000"
"20.3363368632546","19849","70","40","35","6","20000"
"20.3422670013566","19848","71","40","35","6","20000"
"20.3859567865026","19848","71","39","36","6","20000"
"20.3962493838872","19847","72","39","36","6","20000"
"20.4062671876395","19846","73","39","36","6","20000"
"20.4077236452493","19845","74","39","36","6","20000"
"20.4361448994718","19844","75","39","36","6","20000"
"20.4638315529775","19843","76","39","36","6","20000"
"20.4708358761232","19843","75","40","36","6","20000"
"20.4711963874811","19842","76","40","36","6","20000"
"20.4807114553144","19841","77","40","36","6","20000"
"20.5057659012492","19841","77","39","37","6","20000"
"20.5748739130471","19840","78","39","37","6","20000"
"20.5958893782986","19839","79","39","37","6","20000"
"20.599729391636","19838","80","39","37","6","20000"
"20.6182622779481","19837","81","39","37","6","20000"
"20.6379658731545","19836","82","39","37","6","20000"
"20.6511605600906","19835","83","39","37","6","20000"
"20.688467676284","19834","84","39","37","6","20000"
"20.7109354309241","19833","85","39","37","6","20000"
"20.7437585734519","19833","85","38","38","6","20000"
"20.7697615922244","19833","84","39","38","6","20000"
