"t","R","S","I","psi"
"0","0","19999","1","0"
"1.26775691799743","0","19998","2","0"
"1.64407482774784","0","19997","3","0"
"2.43426053357781","0","19996","4","0"
"2.52316825496077","1","19996","3","0"
"2.560768607675","1","19995","4","0"
"3.13409999717609","1","19994","5","0"
"3.48266351522603","1","19993","6","0"
"3.72548086250864","2","19993","5","0"
"4.33449926403704","3","19993","4","0"
"4.60289259235104","3","19992","5","0"
"4.65322338524284","3","19991","6","0"
"4.7045719241722","4","19991","5","0"
"4.80176563595316","4","19990","6","0"
"4.89155011950631","4","19989","7","0"
"5.14378647010273","4","19988","8","0"
"5.49139953298439","4","19987","9","0"
"5.69353431425464","4","19986","10","0"
"5.77666442681964","5","19986","9","0"
"6.27859144376934","5","19985","10","0"
"6.4091147901641","5","19984","11","0"
"6.46841911912904","5","19983","12","0"
"6.73830395724475","5","19982","13","0"
"6.78646429190359","5","19981","14","0"
"6.96819929724613","5","19980","15","0"
"6.98205101485297","5","19979","16","0"
"7.13124808682747","5","19978","17","0"
"7.24149735633813","5","19977","18","0"
"7.2536555017879","5","19976","19","0"
"7.27263754952107","6","19976","18","0"
"7.45470586931906","6","19975","19","0"
"7.73725857562738","7","19975","18","0"
"7.74628223570717","8","19975","17","0"
"7.80948003479681","8","19974","18","0"
"7.86189144259586","8","19973","19","0"
"7.87772591273601","9","19973","18","0"
"7.92210296843287","9","19972","19","0"
"7.94172675536722","10","19972","18","0"
"7.96771680650628","10","19971","19","0"
"8.04602499394237","10","19970","20","0"
"8.10476596002682","10","19969","21","0"
"8.32077076279378","11","19969","20","0"
"8.42940151941907","11","19968","21","0"
"8.51935253216","11","19967","22","0"
"8.57909327652984","11","19966","23","0"
"8.60218911273737","11","19965","24","0"
"8.89924492465043","11","19964","25","0"
"8.97803398171565","11","19963","26","0"
"9.1695648665444","11","19962","27","0"
"9.19834611729288","12","19962","26","0"
"9.23763081956093","12","19961","27","0"
"9.4715961206407","13","19961","26","0"
"9.536485048753","13","19960","27","0"
"9.54269383420045","14","19960","26","0"
"9.6504872043693","15","19960","25","0"
"9.66358655608235","15","19959","26","0"
"9.76246895761535","15","19958","27","0"
"9.77085323996042","15","19957","28","0"
"9.81611684156365","15","19956","29","0"
"9.84561858380244","15","19955","30","0"
"9.87183569523356","15","19954","31","0"
"9.92878868630234","16","19954","30","0"
"9.99360573882966","16","19953","31","0"
"10.0132677176721","16","19952","32","0"
"10.0327865187608","17","19952","31","0"
"10.0860881777593","17","19951","32","0"
"10.1189170530382","18","19951","31","0"
"10.1462518169134","18","19950","32","0"
"10.200132734603","18","19949","33","0"
"10.2455084292873","19","19949","32","0"
"10.2564767792899","19","19948","33","0"
"10.4095723034227","19","19947","34","0"
"10.4293929837878","19","19946","35","0"
"10.4817729041782","19","19945","36","0"
"10.5518579715354","19","19944","37","0"
"10.593063296917","19","19943","38","0"
"10.5934450041112","19","19942","39","0"
"10.6075054541557","19","19941","40","0"
"10.6100512789081","19","19940","41","0"
"10.6576110657635","20","19940","40","0"
"10.7272473442247","20","19939","41","0"
"10.8524267091971","20","19938","42","0"
"11.0673676241526","20","19937","43","0"
"11.2030714361501","20","19936","44","0"
"11.3112324066234","20","19935","45","0"
"11.3240726915683","20","19935","45","1"
"11.4688918071381","20","19934","46","1"
"11.4720212401412","20","19933","47","1"
"11.4903135487544","20","19932","48","1"
"11.4942533543564","20","19931","49","1"
"11.5032496754013","21","19931","48","1"
"11.5142010072151","22","19931","47","1"
"11.5235657044901","22","19930","48","1"
"11.5365691220989","23","19930","47","1"
"11.5494052709614","24","19930","46","1"
"11.5701160918787","24","19929","47","1"
"11.610460605773","24","19928","48","1"
"11.6354690915144","24","19927","49","1"
"11.6657393556783","25","19927","48","1"
"11.6748258459594","25","19926","49","1"
"11.6883979069755","25","19925","50","1"
"11.7006470420816","25","19924","51","1"
"11.8320776040114","26","19924","50","1"
"11.9775013717685","26","19923","51","1"
"12.0060225506785","26","19922","52","1"
"12.0105384608935","26","19921","53","1"
"12.0187273463941","27","19921","52","1"
"12.0264594999303","27","19920","53","1"
"12.0277926058919","27","19919","54","1"
"12.0605117003063","27","19918","55","1"
"12.1114398754999","27","19917","56","1"
"12.1778287395213","27","19916","57","1"
"12.1880052106498","27","19915","58","1"
"12.2046315661095","28","19915","57","1"
"12.2623639075189","28","19914","58","1"
"12.274954265999","29","19914","57","1"
"12.2958965406225","29","19913","58","1"
"12.3114769178312","29","19912","59","1"
"12.3315532188016","30","19912","58","1"
"12.3939788748784","31","19912","57","1"
"12.4330108589867","31","19911","58","1"
"12.4926786343504","32","19911","57","1"
"12.5314559281576","32","19910","58","1"
"12.6208731531031","32","19909","59","1"
"12.6381491145802","32","19908","60","1"
"12.6529068786374","33","19908","59","1"
"12.6585693387846","33","19907","60","1"
"12.6953610185279","33","19906","61","1"
"12.6958934150767","33","19905","62","1"
"12.6965691668124","34","19905","61","1"
"12.7020068640169","34","19904","62","1"
"12.7053384088235","34","19903","63","1"
"12.757459954053","34","19902","64","1"
"12.7995574039482","34","19901","65","1"
"12.8060906183536","35","19901","64","1"
"12.8432073649425","36","19901","63","1"
"12.8679079125276","37","19901","62","1"
"12.9331425259244","37","19900","63","1"
"12.9598085356808","37","19899","64","1"
"12.9771212093575","37","19898","65","1"
"12.9868370685385","37","19897","66","1"
"12.9896001694279","38","19897","65","1"
"13.1119215217226","38","19896","66","1"
"13.1389033440651","38","19895","67","1"
"13.1622364569031","39","19895","66","1"
"13.2196458839322","39","19894","67","1"
"13.2256566527062","40","19894","66","1"
"13.2965947022492","41","19894","65","1"
"13.3247771797297","42","19894","64","1"
"13.3594385038682","42","19893","65","1"
"13.362567908288","43","19893","64","1"
"13.3639727967752","43","19892","65","1"
"13.4351304157137","43","19891","66","1"
"13.4414438570854","43","19890","67","1"
"13.5620942088488","43","19889","68","1"
"13.5754992350194","43","19888","69","1"
"13.5789707378739","44","19888","68","1"
"13.5875287073188","44","19887","69","1"
"13.5985940104185","44","19886","70","1"
"13.6058707772661","44","19885","71","1"
"13.632151190214","44","19884","72","1"
"13.6799768940054","45","19884","71","1"
"13.6850611529915","45","19883","72","1"
"13.7301981936815","45","19882","73","1"
"13.7613162354971","45","19881","74","1"
"13.7623055480906","45","19880","75","1"
"13.7771407111517","46","19880","74","1"
"13.7926058268293","46","19879","75","1"
"13.8742240337743","46","19878","76","1"
"13.8991281739834","46","19877","77","1"
"13.913831593314","46","19876","78","1"
"13.9211525800278","46","19875","79","1"
"13.9309849698684","47","19875","78","1"
"13.963832047579","48","19875","77","1"
"13.9647820275406","48","19874","78","1"
"14.033305528941","48","19873","79","1"
"14.0711598042177","48","19872","80","1"
"14.076250559174","48","19871","81","1"
"14.0894188226594","48","19870","82","1"
"14.1496925019113","48","19869","83","1"
"14.172761424281","49","19869","82","1"
"14.1777391233701","49","19868","83","1"
"14.1980841225759","49","19867","84","1"
"14.2503274513223","49","19866","85","1"
"14.2549519394296","49","19865","86","1"
"14.2869678492739","49","19864","87","1"
"14.2927370028626","50","19864","86","1"
"14.31648564564","50","19863","87","1"
"14.317066366204","50","19862","88","1"
"14.3261541354152","51","19862","87","1"
"14.3265982915137","51","19861","88","1"
"14.3800357479","51","19860","89","1"
"14.3816718604635","51","19859","90","1"
"14.3957800413725","51","19858","91","1"
"14.4074875072485","51","19857","92","1"
"14.4242135856373","51","19856","93","1"
"14.4486523374007","52","19856","92","1"
"14.5126984643023","52","19855","93","1"
"14.5335955939343","52","19854","94","1"
"14.5998084287372","52","19853","95","1"
"14.6060578411985","53","19853","94","1"
"14.6503059523369","53","19852","95","1"
"14.6627164879204","53","19851","96","1"
"14.6955541216151","53","19850","97","1"
"14.6955667996544","53","19849","98","1"
"14.7730237372164","53","19848","99","1"
"14.7798429180318","53","19847","100","1"
"14.7884465561796","53","19846","101","1"
"14.7904476985008","53","19845","102","1"
"14.8150477249598","53","19844","103","1"
"14.8272534771265","53","19843","104","1"
"14.8283136802916","53","19842","105","1"
"14.8700086437404","53","19841","106","1"
"14.879269733553","54","19841","105","1"
"14.893943122015","54","19840","106","1"
"14.902848647196","54","19839","107","1"
"14.907060331514","54","19838","108","1"
"14.9097250340444","54","19837","109","1"
"14.9371304772386","54","19836","110","1"
"14.9548399895447","54","19835","111","1"
"14.9599216650878","55","19835","110","1"
"14.9802498451797","55","19834","111","1"
"14.9828764521148","55","19833","112","1"
"14.9925059611623","55","19832","113","1"
"15.0037015569691","55","19831","114","1"
"15.0285724515138","56","19831","113","1"
"15.0337863157916","56","19830","114","1"
